 v-sweep         v(Vbiasc)       v(Vbias)        v(Ix)           v(Iout)         v(Iref)        
 1.22000000e+00  2.75025741e-01  1.28351594e-01  9.94268873e-09  1.00126831e-08  1.00935090e-08 
 1.22500000e+00  2.75039062e-01  1.28357850e-01  9.94472993e-09  1.00145945e-08  1.00945222e-08 
 1.23000000e+00  2.75042894e-01  1.28359650e-01  9.94540337e-09  1.00151264e-08  1.00949090e-08 
 1.23500000e+00  2.75044666e-01  1.28360481e-01  9.94577865e-09  1.00153622e-08  1.00951591e-08 
 1.24000000e+00  2.75054064e-01  1.28364898e-01  9.94725406e-09  1.00167021e-08  1.00959127e-08 
 1.24500000e+00  2.75057484e-01  1.28366499e-01  9.94786443e-09  1.00171765e-08  1.00962703e-08 
 1.25000000e+00  2.75063794e-01  1.28369467e-01  9.94889394e-09  1.00180668e-08  1.00968195e-08 
 1.25500000e+00  2.75064080e-01  1.28369602e-01  9.94905304e-09  1.00180835e-08  1.00969703e-08 
 1.26000000e+00  2.75076551e-01  1.28375464e-01  9.95096956e-09  1.00198666e-08  1.00979252e-08 
 1.26500000e+00  2.75081331e-01  1.28377702e-01  9.95177316e-09  1.00205376e-08  1.00983709e-08 
 1.27000000e+00  2.75085127e-01  1.28379478e-01  9.95243441e-09  1.00210644e-08  1.00987513e-08 
 1.27500000e+00  2.75092269e-01  1.28382841e-01  9.95358228e-09  1.00220718e-08  1.00993541e-08 
 1.28000000e+00  2.75096793e-01  1.28384966e-01  9.95434968e-09  1.00227022e-08  1.00997830e-08 
 1.28500000e+00  2.75109886e-01  1.28391118e-01  9.95635296e-09  1.00245758e-08  1.01007770e-08 
 1.29000000e+00  2.75114885e-01  1.28393466e-01  9.95718780e-09  1.00252736e-08  1.01012365e-08 
 1.29500000e+00  2.75115851e-01  1.28393921e-01  9.95744049e-09  1.00253831e-08  1.01014297e-08 
 1.30000000e+00  2.75125819e-01  1.28398600e-01  9.95899031e-09  1.00268037e-08  1.01022161e-08 
 1.30500000e+00  2.75129543e-01  1.28400337e-01  9.95963586e-09  1.00273182e-08  1.01025890e-08 
 1.31000000e+00  2.75142624e-01  1.28406506e-01  9.96164244e-09  1.00291804e-08  1.01035840e-08 
 1.31500000e+00  2.75148137e-01  1.28409104e-01  9.96255176e-09  1.00299467e-08  1.01040773e-08 
 1.32000000e+00  2.75148745e-01  1.28409374e-01  9.96274499e-09  1.00300093e-08  1.01042434e-08 
 1.32500000e+00  2.75157671e-01  1.28413577e-01  9.96414671e-09  1.00312711e-08  1.01049618e-08 
 1.33000000e+00  2.75160351e-01  1.28414840e-01  9.96464404e-09  1.00316263e-08  1.01052668e-08 
 1.33500000e+00  2.75164604e-01  1.28416824e-01  9.96536282e-09  1.00322140e-08  1.01056733e-08 
 1.34000000e+00  2.75177660e-01  1.28422969e-01  9.96736029e-09  1.00340753e-08  1.01066639e-08 
 1.34500000e+00  2.75181994e-01  1.28425000e-01  9.96809297e-09  1.00346716e-08  1.01070766e-08 
 1.35000000e+00  2.75189163e-01  1.28428353e-01  9.96923148e-09  1.00356844e-08  1.01076749e-08 
 1.35500000e+00  2.75193623e-01  1.28430462e-01  9.96998719e-09  1.00362899e-08  1.01080981e-08 
 1.36000000e+00  2.75198477e-01  1.28432741e-01  9.97079454e-09  1.00369579e-08  1.01085451e-08 
 1.36500000e+00  2.75201637e-01  1.28434235e-01  9.97136040e-09  1.00373782e-08  1.01088817e-08 
 1.37000000e+00  2.75216365e-01  1.28441134e-01  9.97358857e-09  1.00394888e-08  1.01099779e-08 
 1.37500000e+00  2.75218689e-01  1.28442230e-01  9.97403122e-09  1.00397849e-08  1.01102585e-08 
 1.38000000e+00  2.75224067e-01  1.28444762e-01  9.97491532e-09  1.00405260e-08  1.01107408e-08 
 1.38500000e+00  2.75227738e-01  1.28446490e-01  9.97555168e-09  1.00410184e-08  1.01111100e-08 
 1.39000000e+00  2.75233175e-01  1.28449050e-01  9.97644368e-09  1.00417646e-08  1.01115961e-08 
 1.39500000e+00  2.75240788e-01  1.28452627e-01  9.97764850e-09  1.00428307e-08  1.01122252e-08 
 1.40000000e+00  2.75248275e-01  1.28456141e-01  9.97883388e-09  1.00438780e-08  1.01128454e-08 
 1.40500000e+00  2.75249716e-01  1.28456801e-01  9.97914063e-09  1.00440485e-08  1.01130649e-08 
 1.41000000e+00  2.75255335e-01  1.28459440e-01  9.98005595e-09  1.00448233e-08  1.01135621e-08 
 1.41500000e+00  2.75262135e-01  1.28462655e-01  9.98114828e-09  1.00457606e-08  1.01141402e-08 
 1.42000000e+00  2.75261437e-01  1.28462336e-01  9.98115274e-09  1.00456095e-08  1.01142220e-08 
 1.42500000e+00  2.75261666e-01  1.28462426e-01  9.98128298e-09  1.00456010e-08  1.01143616e-08 
 1.43000000e+00  2.75269185e-01  1.28465970e-01  9.98247572e-09  1.00466438e-08  1.01149860e-08 
 1.43500000e+00  2.75274730e-01  1.28468572e-01  9.98337866e-09  1.00474035e-08  1.01154785e-08 
 1.44000000e+00  2.75278020e-01  1.28470125e-01  9.98395849e-09  1.00478285e-08  1.01158237e-08 
 1.44500000e+00  2.75273320e-01  1.28467911e-01  9.98337816e-09  1.00470953e-08  1.01156398e-08 
 1.45000000e+00  2.75274028e-01  1.28468244e-01  9.98358178e-09  1.00471475e-08  1.01158138e-08 
 1.45500000e+00  2.75278872e-01  1.28470518e-01  9.98438299e-09  1.00478003e-08  1.01162608e-08 
 1.46000000e+00  2.75275536e-01  1.28468957e-01  9.98400298e-09  1.00472571e-08  1.01161690e-08 
 1.46500000e+00  2.75265572e-01  1.28464276e-01  9.98266230e-09  1.00457521e-08  1.01156392e-08 
 1.47000000e+00  2.75262434e-01  1.28462818e-01  9.98231375e-09  1.00452342e-08  1.01155623e-08 
 1.47500000e+00  2.75261974e-01  1.28462585e-01  9.98234227e-09  1.00451171e-08  1.01156579e-08 
 1.48000000e+00  2.75246486e-01  1.28455335e-01  9.98021046e-09  1.00427946e-08  1.01147677e-08 
 1.48500000e+00  2.75235711e-01  1.28450263e-01  9.97874947e-09  1.00411714e-08  1.01141841e-08 
 1.49000000e+00  2.75226793e-01  1.28446082e-01  9.97756276e-09  1.00398109e-08  1.01137258e-08 
 1.49500000e+00  2.75210693e-01  1.28438503e-01  9.97533078e-09  1.00374114e-08  1.01127908e-08 
 1.50000000e+00  2.75192748e-01  1.28430101e-01  9.97284560e-09  1.00347291e-08  1.01117401e-08 
