 frequency       v(L_dB)         v(L_arg)        v(Tmb_dB)       v(Tmb_arg)      v(Ttian_dB)     v(Ttian_arg)   
 1.00000000e-02  9.16574187e+00  1.12239676e+02  3.40784366e+01  1.14250696e+00  3.40770959e+01  1.14730131e+00 
 1.02305973e-02  9.34067117e+00  1.11859101e+02  3.40786247e+01  1.16882167e+00  3.40773003e+01  1.17361358e+00 
 1.04665121e-02  9.51655386e+00  1.11486831e+02  3.40788215e+01  1.19574097e+00  3.40775135e+01  1.20052803e+00 
 1.07078670e-02  9.69335884e+00  1.11122848e+02  3.40790275e+01  1.22327867e+00  3.40777358e+01  1.22805847e+00 
 1.09547876e-02  9.87105581e+00  1.10767129e+02  3.40792432e+01  1.25144885e+00  3.40779676e+01  1.25621902e+00 
 1.12074020e-02  1.00496153e+01  1.10419645e+02  3.40794688e+01  1.28026591e+00  3.40782094e+01  1.28502410e+00 
 1.14658417e-02  1.02290086e+01  1.10080366e+02  3.40797050e+01  1.30974460e+00  3.40784617e+01  1.31448848e+00 
 1.17302409e-02  1.04092080e+01  1.09749255e+02  3.40799522e+01  1.33989994e+00  3.40787247e+01  1.34462725e+00 
 1.20007371e-02  1.05901864e+01  1.09426274e+02  3.40802109e+01  1.37074734e+00  3.40789992e+01  1.37545585e+00 
 1.22774708e-02  1.07719177e+01  1.09111381e+02  3.40804816e+01  1.40230252e+00  3.40792856e+01  1.40699004e+00 
 1.25605860e-02  1.09543767e+01  1.08804530e+02  3.40807650e+01  1.43458154e+00  3.40795844e+01  1.43924595e+00 
 1.28502297e-02  1.11375388e+01  1.08505676e+02  3.40810615e+01  1.46760082e+00  3.40798962e+01  1.47224007e+00 
 1.31465525e-02  1.13213805e+01  1.08214768e+02  3.40813718e+01  1.50137716e+00  3.40802217e+01  1.50598924e+00 
 1.34497085e-02  1.15058790e+01  1.07931755e+02  3.40816966e+01  1.53592769e+00  3.40805614e+01  1.54051069e+00 
 1.37598551e-02  1.16910124e+01  1.07656586e+02  3.40820365e+01  1.57126995e+00  3.40809160e+01  1.57582200e+00 
 1.40771537e-02  1.18767596e+01  1.07389205e+02  3.40823922e+01  1.60742183e+00  3.40812862e+01  1.61194116e+00 
 1.44017690e-02  1.20631003e+01  1.07129557e+02  3.40827645e+01  1.64440163e+00  3.40816728e+01  1.64888653e+00 
 1.47338699e-02  1.22500150e+01  1.06877586e+02  3.40831541e+01  1.68222804e+00  3.40820764e+01  1.68667689e+00 
 1.50736290e-02  1.24374852e+01  1.06633236e+02  3.40835618e+01  1.72092014e+00  3.40824979e+01  1.72533140e+00 
 1.54212228e-02  1.26254928e+01  1.06396450e+02  3.40839884e+01  1.76049743e+00  3.40829381e+01  1.76486965e+00 
 1.57768320e-02  1.28140209e+01  1.06167168e+02  3.40844349e+01  1.80097982e+00  3.40833978e+01  1.80531164e+00 
 1.61406415e-02  1.30030532e+01  1.05945335e+02  3.40849022e+01  1.84238767e+00  3.40838781e+01  1.84667779e+00 
 1.65128404e-02  1.31925742e+01  1.05730893e+02  3.40853912e+01  1.88474174e+00  3.40843799e+01  1.88898897e+00 
 1.68936220e-02  1.33825690e+01  1.05523785e+02  3.40859030e+01  1.92806324e+00  3.40849041e+01  1.93226647e+00 
 1.72831844e-02  1.35730237e+01  1.05323953e+02  3.40864385e+01  1.97237383e+00  3.40854518e+01  1.97653203e+00 
 1.76817299e-02  1.37639250e+01  1.05131342e+02  3.40869989e+01  2.01769562e+00  3.40860241e+01  2.02180786e+00 
 1.80894658e-02  1.39552603e+01  1.04945897e+02  3.40875853e+01  2.06405119e+00  3.40866221e+01  2.06811661e+00 
 1.85066040e-02  1.41470178e+01  1.04767562e+02  3.40881990e+01  2.11146356e+00  3.40872471e+01  2.11548141e+00 
 1.89333613e-02  1.43391863e+01  1.04596285e+02  3.40888412e+01  2.15995627e+00  3.40879004e+01  2.16392585e+00 
 1.93699595e-02  1.45317555e+01  1.04432013e+02  3.40895132e+01  2.20955330e+00  3.40885831e+01  2.21347400e+00 
 1.98166255e-02  1.47247155e+01  1.04274695e+02  3.40902164e+01  2.26027914e+00  3.40892968e+01  2.26415045e+00 
 2.02735916e-02  1.49180574e+01  1.04124282e+02  3.40909523e+01  2.31215879e+00  3.40900428e+01  2.31598025e+00 
 2.07410951e-02  1.51117727e+01  1.03980724e+02  3.40917222e+01  2.36521771e+00  3.40908227e+01  2.36898896e+00 
 2.12193792e-02  1.53058537e+01  1.03843975e+02  3.40925279e+01  2.41948191e+00  3.40916380e+01  2.42320264e+00 
 2.17086923e-02  1.55002933e+01  1.03713989e+02  3.40933710e+01  2.47497790e+00  3.40924904e+01  2.47864789e+00 
 2.22092889e-02  1.56950850e+01  1.03590723e+02  3.40942532e+01  2.53173272e+00  3.40933817e+01  2.53535180e+00 
 2.27214291e-02  1.58902233e+01  1.03474136e+02  3.40951762e+01  2.58977391e+00  3.40943135e+01  2.59334200e+00 
 2.32453791e-02  1.60857028e+01  1.03364187e+02  3.40961421e+01  2.64912958e+00  3.40952879e+01  2.65264664e+00 
 2.37814113e-02  1.62815190e+01  1.03260837e+02  3.40971527e+01  2.70982835e+00  3.40963067e+01  2.71329443e+00 
 2.43298042e-02  1.64776682e+01  1.03164051e+02  3.40982100e+01  2.77189941e+00  3.40973721e+01  2.77531457e+00 
 2.48908429e-02  1.66741471e+01  1.03073794e+02  3.40993164e+01  2.83537246e+00  3.40984861e+01  2.83873687e+00 
 2.54648190e-02  1.68709531e+01  1.02990035e+02  3.41004739e+01  2.90027779e+00  3.40996511e+01  2.90359163e+00 
 2.60520309e-02  1.70680841e+01  1.02912742e+02  3.41016849e+01  2.96664622e+00  3.41008694e+01  2.96990975e+00 
 2.66527837e-02  1.72655389e+01  1.02841887e+02  3.41029520e+01  3.03450913e+00  3.41021435e+01  3.03772264e+00 
 2.72673897e-02  1.74633167e+01  1.02777446e+02  3.41042776e+01  3.10389848e+00  3.41034759e+01  3.10706231e+00 
 2.78961683e-02  1.76614174e+01  1.02719394e+02  3.41056645e+01  3.17484677e+00  3.41048693e+01  3.17796130e+00 
 2.85394464e-02  1.78598416e+01  1.02667709e+02  3.41071155e+01  3.24738707e+00  3.41063265e+01  3.25045271e+00 
 2.91975583e-02  1.80585904e+01  1.02622372e+02  3.41086334e+01  3.32155301e+00  3.41078505e+01  3.32457024e+00 
 2.98708461e-02  1.82576657e+01  1.02583366e+02  3.41102213e+01  3.39737880e+00  3.41094444e+01  3.40034809e+00 
 3.05596598e-02  1.84570699e+01  1.02550676e+02  3.41118825e+01  3.47489918e+00  3.41111112e+01  3.47782107e+00 
 3.12643573e-02  1.86568062e+01  1.02524290e+02  3.41136202e+01  3.55414947e+00  3.41128544e+01  3.55702451e+00 
 3.19853049e-02  1.88568783e+01  1.02504197e+02  3.41154380e+01  3.63516554e+00  3.41146774e+01  3.63799433e+00 
 3.27228774e-02  1.90572907e+01  1.02490390e+02  3.41173395e+01  3.71798382e+00  3.41165840e+01  3.72076695e+00 
 3.34774581e-02  1.92580487e+01  1.02482861e+02  3.41193284e+01  3.80264125e+00  3.41185778e+01  3.80537936e+00 
 3.42494392e-02  1.94591580e+01  1.02481610e+02  3.41214088e+01  3.88917536e+00  3.41206629e+01  3.89186910e+00 
 3.50392221e-02  1.96606251e+01  1.02486633e+02  3.41235848e+01  3.97762415e+00  3.41228434e+01  3.98027421e+00 
 3.58472171e-02  1.98624575e+01  1.02497933e+02  3.41258607e+01  4.06802618e+00  3.41251237e+01  4.07063324e+00 
 3.66738442e-02  2.00646630e+01  1.02515512e+02  3.41282410e+01  4.16042050e+00  3.41275082e+01  4.16298527e+00 
 3.75195331e-02  2.02672506e+01  1.02539378e+02  3.41307305e+01  4.25484663e+00  3.41300017e+01  4.25736985e+00 
 3.83847234e-02  2.04702297e+01  1.02569537e+02  3.41333340e+01  4.35134461e+00  3.41326090e+01  4.35382700e+00 
 3.92698648e-02  2.06736108e+01  1.02606000e+02  3.41360566e+01  4.44995489e+00  3.41353354e+01  4.45239721e+00 
 4.01754173e-02  2.08774050e+01  1.02648781e+02  3.41389038e+01  4.55071839e+00  3.41381862e+01  4.55312139e+00 
 4.11018515e-02  2.10816244e+01  1.02697893e+02  3.41418810e+01  4.65367642e+00  3.41411669e+01  4.65604089e+00 
 4.20496491e-02  2.12862819e+01  1.02753354e+02  3.41449941e+01  4.75887070e+00  3.41442833e+01  4.76119739e+00 
 4.30193027e-02  2.14913913e+01  1.02815183e+02  3.41482492e+01  4.86634329e+00  3.41475416e+01  4.86863300e+00 
 4.40113162e-02  2.16969674e+01  1.02883401e+02  3.41516525e+01  4.97613658e+00  3.41509480e+01  4.97839011e+00 
 4.50262052e-02  2.19030258e+01  1.02958032e+02  3.41552107e+01  5.08829328e+00  3.41545091e+01  5.09051141e+00 
 4.60644974e-02  2.21095832e+01  1.03039102e+02  3.41589306e+01  5.20285634e+00  3.41582319e+01  5.20503987e+00 
 4.71267322e-02  2.23166573e+01  1.03126638e+02  3.41628193e+01  5.31986891e+00  3.41621233e+01  5.32201865e+00 
 4.82134619e-02  2.25242670e+01  1.03220670e+02  3.41668843e+01  5.43937433e+00  3.41661910e+01  5.44149108e+00 
 4.93252513e-02  2.27324320e+01  1.03321229e+02  3.41711333e+01  5.56141607e+00  3.41704425e+01  5.56350063e+00 
 5.04626783e-02  2.29411735e+01  1.03428348e+02  3.41755744e+01  5.68603766e+00  3.41748861e+01  5.68809085e+00 
 5.16263340e-02  2.31505137e+01  1.03542064e+02  3.41802160e+01  5.81328264e+00  3.41795301e+01  5.81530525e+00 
 5.28168234e-02  2.33604759e+01  1.03662413e+02  3.41850669e+01  5.94319449e+00  3.41843832e+01  5.94518735e+00 
 5.40347650e-02  2.35710849e+01  1.03789434e+02  3.41901360e+01  6.07581661e+00  3.41894545e+01  6.07778052e+00 
 5.52807921e-02  2.37823669e+01  1.03923167e+02  3.41954329e+01  6.21119218e+00  3.41947536e+01  6.21312793e+00 
