 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 3.91550000e-05  1.22699082e-05  6.04771553e-04  7.50006135e-01  7.49993865e-01  7.37148414e-01  7.36543642e-01 
 4.01550000e-05  1.25816326e-05  6.38907828e-04  7.50006291e-01  7.49993709e-01  7.37165474e-01  7.36526566e-01 
 4.11550000e-05  1.28932328e-05  6.73928090e-04  7.50006447e-01  7.49993553e-01  7.37182993e-01  7.36509065e-01 
 4.21550000e-05  1.32047058e-05  7.09835633e-04  7.50006602e-01  7.49993398e-01  7.37200957e-01  7.36491122e-01 
 4.31550000e-05  1.35160484e-05  7.46631866e-04  7.50006758e-01  7.49993242e-01  7.37219357e-01  7.36472725e-01 
 4.41550000e-05  1.38272576e-05  7.84318285e-04  7.50006914e-01  7.49993086e-01  7.37238205e-01  7.36453886e-01 
 4.51550000e-05  1.41383304e-05  8.22895173e-04  7.50007069e-01  7.49992931e-01  7.37257484e-01  7.36434589e-01 
 4.61550000e-05  1.44492636e-05  8.62358084e-04  7.50007225e-01  7.49992775e-01  7.37277193e-01  7.36414835e-01 
 4.71550000e-05  1.47600543e-05  9.02704022e-04  7.50007380e-01  7.49992620e-01  7.37297338e-01  7.36394634e-01 
 4.81550000e-05  1.50706992e-05  9.43930372e-04  7.50007535e-01  7.49992465e-01  7.37317934e-01  7.36374003e-01 
 4.91550000e-05  1.53811954e-05  9.86033618e-04  7.50007691e-01  7.49992309e-01  7.37338966e-01  7.36352932e-01 
 5.01550000e-05  1.56915398e-05  1.02901299e-03  7.50007846e-01  7.49992154e-01  7.37360433e-01  7.36331420e-01 
 5.11550000e-05  1.60017294e-05  1.07287064e-03  7.50008001e-01  7.49991999e-01  7.37382338e-01  7.36309467e-01 
 5.21550000e-05  1.63117610e-05  1.11760703e-03  7.50008156e-01  7.49991844e-01  7.37404683e-01  7.36287076e-01 
 5.31550000e-05  1.66216316e-05  1.16322099e-03  7.50008311e-01  7.49991689e-01  7.37427469e-01  7.36264248e-01 
 5.41550000e-05  1.69313381e-05  1.20971289e-03  7.50008466e-01  7.49991534e-01  7.37450699e-01  7.36240986e-01 
 5.51550000e-05  1.72408776e-05  1.25708640e-03  7.50008620e-01  7.49991380e-01  7.37474381e-01  7.36217294e-01 
 5.61550000e-05  1.75502469e-05  1.30534115e-03  7.50008775e-01  7.49991225e-01  7.37498500e-01  7.36193159e-01 
 5.71550000e-05  1.78594430e-05  1.35447713e-03  7.50008930e-01  7.49991070e-01  7.37523053e-01  7.36168576e-01 
 5.81550000e-05  1.81684628e-05  1.40449166e-03  7.50009084e-01  7.49990916e-01  7.37548041e-01  7.36143549e-01 
 5.91550000e-05  1.84773033e-05  1.45537668e-03  7.50009239e-01  7.49990761e-01  7.37573460e-01  7.36118084e-01 
 6.01550000e-05  1.87859614e-05  1.50713001e-03  7.50009393e-01  7.49990607e-01  7.37599327e-01  7.36092197e-01 
 6.11550000e-05  1.90944341e-05  1.55975153e-03  7.50009547e-01  7.49990453e-01  7.37625645e-01  7.36065893e-01 
 6.21550000e-05  1.94027184e-05  1.61324136e-03  7.50009701e-01  7.49990299e-01  7.37652399e-01  7.36039158e-01 
 6.31550000e-05  1.97108112e-05  1.66760016e-03  7.50009855e-01  7.49990145e-01  7.37679583e-01  7.36011983e-01 
 6.41550000e-05  2.00187094e-05  1.72282804e-03  7.50010009e-01  7.49989991e-01  7.37707195e-01  7.35984367e-01 
 6.51550000e-05  2.03264101e-05  1.77892164e-03  7.50010163e-01  7.49989837e-01  7.37735237e-01  7.35956316e-01 
 6.61550000e-05  2.06339101e-05  1.83588243e-03  7.50010317e-01  7.49989683e-01  7.37763715e-01  7.35927833e-01 
 6.71550000e-05  2.09412065e-05  1.89371264e-03  7.50010471e-01  7.49989529e-01  7.37792631e-01  7.35898918e-01 
 6.81550000e-05  2.12482962e-05  1.95241017e-03  7.50010624e-01  7.49989376e-01  7.37821973e-01  7.35869563e-01 
 6.91550000e-05  2.15551762e-05  2.01197198e-03  7.50010778e-01  7.49989222e-01  7.37851733e-01  7.35839761e-01 
 7.01550000e-05  2.18618435e-05  2.07239612e-03  7.50010931e-01  7.49989069e-01  7.37881915e-01  7.35809519e-01 
 7.11550000e-05  2.21682950e-05  2.13368146e-03  7.50011084e-01  7.49988916e-01  7.37912519e-01  7.35778838e-01 
 7.21550000e-05  2.24745277e-05  2.19583006e-03  7.50011237e-01  7.49988763e-01  7.37943567e-01  7.35747737e-01 
 7.31550000e-05  2.27805386e-05  2.25884176e-03  7.50011390e-01  7.49988610e-01  7.37975059e-01  7.35716217e-01 
 7.41550000e-05  2.30863247e-05  2.32271516e-03  7.50011543e-01  7.49988457e-01  7.38006998e-01  7.35684283e-01 
 7.51550000e-05  2.33918829e-05  2.38744909e-03  7.50011696e-01  7.49988304e-01  7.38039386e-01  7.35651937e-01 
 7.61550000e-05  2.36972102e-05  2.45303995e-03  7.50011849e-01  7.49988151e-01  7.38072206e-01  7.35619166e-01 
 7.71550000e-05  2.40023037e-05  2.51948628e-03  7.50012001e-01  7.49987999e-01  7.38105442e-01  7.35585956e-01 
 7.81550000e-05  2.43071602e-05  2.58678669e-03  7.50012154e-01  7.49987846e-01  7.38139088e-01  7.35552302e-01 
 7.91550000e-05  2.46117769e-05  2.65494020e-03  7.50012306e-01  7.49987694e-01  7.38173145e-01  7.35518205e-01 
 8.01550000e-05  2.49161506e-05  2.72394698e-03  7.50012458e-01  7.49987542e-01  7.38207630e-01  7.35483683e-01 
 8.11550000e-05  2.52202785e-05  2.79380519e-03  7.50012610e-01  7.49987390e-01  7.38242556e-01  7.35448750e-01 
 8.21550000e-05  2.55241574e-05  2.86451169e-03  7.50012762e-01  7.49987238e-01  7.38277914e-01  7.35413402e-01 
 8.31550000e-05  2.58277844e-05  2.93606491e-03  7.50012914e-01  7.49987086e-01  7.38313693e-01  7.35377628e-01 
 8.41550000e-05  2.61311565e-05  3.00846764e-03  7.50013066e-01  7.49986934e-01  7.38349895e-01  7.35341427e-01 
 8.51550000e-05  2.64342707e-05  3.08172073e-03  7.50013217e-01  7.49986783e-01  7.38386499e-01  7.35304778e-01 
 8.61550000e-05  2.67371240e-05  3.15582121e-03  7.50013369e-01  7.49986631e-01  7.38423518e-01  7.35267697e-01 
 8.71550000e-05  2.70397134e-05  3.23076729e-03  7.50013520e-01  7.49986480e-01  7.38460953e-01  7.35230185e-01 
 8.81550000e-05  2.73420359e-05  3.30655762e-03  7.50013671e-01  7.49986329e-01  7.38498819e-01  7.35192261e-01 
 8.91550000e-05  2.76440886e-05  3.38319340e-03  7.50013822e-01  7.49986178e-01  7.38537129e-01  7.35153936e-01 
 9.01550000e-05  2.79458685e-05  3.46067392e-03  7.50013973e-01  7.49986027e-01  7.38575885e-01  7.35115211e-01 
 9.11550000e-05  2.82473725e-05  3.53899767e-03  7.50014124e-01  7.49985876e-01  7.38615062e-01  7.35076064e-01 
 9.21550000e-05  2.85485978e-05  3.61816186e-03  7.50014274e-01  7.49985726e-01  7.38654641e-01  7.35036479e-01 
 9.31550000e-05  2.88495413e-05  3.69816448e-03  7.50014425e-01  7.49985575e-01  7.38694619e-01  7.34996454e-01 
 9.41550000e-05  2.91502000e-05  3.77900242e-03  7.50014575e-01  7.49985425e-01  7.38734997e-01  7.34955995e-01 
 9.51550000e-05  2.94505711e-05  3.86067345e-03  7.50014725e-01  7.49985275e-01  7.38775796e-01  7.34915122e-01 
 9.61550000e-05  2.97506515e-05  3.94317760e-03  7.50014875e-01  7.49985125e-01  7.38817026e-01  7.34873848e-01 
 9.71550000e-05  3.00504382e-05  4.02651632e-03  7.50015025e-01  7.49984975e-01  7.38858684e-01  7.34832168e-01 
 9.81550000e-05  3.03499284e-05  4.11069119e-03  7.50015175e-01  7.49984825e-01  7.38900766e-01  7.34790074e-01 
 9.91550000e-05  3.06491190e-05  4.19569782e-03  7.50015325e-01  7.49984675e-01  7.38943271e-01  7.34747573e-01 
 1.00155000e-04  3.09480072e-05  4.28153441e-03  7.50015474e-01  7.49984526e-01  7.38986199e-01  7.34704665e-01 
 1.01155000e-04  3.12465899e-05  4.36820261e-03  7.50015623e-01  7.49984377e-01  7.39029540e-01  7.34661337e-01 
 1.02155000e-04  3.15448642e-05  4.45570336e-03  7.50015772e-01  7.49984228e-01  7.39073284e-01  7.34617581e-01 
 1.03155000e-04  3.18428271e-05  4.54403045e-03  7.50015921e-01  7.49984079e-01  7.39117427e-01  7.34573396e-01 
 1.04155000e-04  3.21404758e-05  4.63317988e-03  7.50016070e-01  7.49983930e-01  7.39161973e-01  7.34528793e-01 
 1.05155000e-04  3.24378073e-05  4.72315029e-03  7.50016219e-01  7.49983781e-01  7.39206938e-01  7.34483788e-01 
 1.06155000e-04  3.27348186e-05  4.81393905e-03  7.50016367e-01  7.49983633e-01  7.39252326e-01  7.34438386e-01 
 1.07155000e-04  3.30315069e-05  4.90554846e-03  7.50016516e-01  7.49983484e-01  7.39298132e-01  7.34392584e-01 
 1.08155000e-04  3.33278691e-05  4.99797970e-03  7.50016664e-01  7.49983336e-01  7.39344351e-01  7.34346371e-01 
 1.09155000e-04  3.36239024e-05  5.09123377e-03  7.50016812e-01  7.49983188e-01  7.39390983e-01  7.34299749e-01 
 1.10155000e-04  3.39196039e-05  5.18530992e-03  7.50016960e-01  7.49983040e-01  7.39438030e-01  7.34252720e-01 
 1.11155000e-04  3.42149706e-05  5.28020676e-03  7.50017107e-01  7.49982893e-01  7.39485479e-01  7.34205273e-01 
 1.12155000e-04  3.45099996e-05  5.37591865e-03  7.50017255e-01  7.49982745e-01  7.39533325e-01  7.34157406e-01 
 1.13155000e-04  3.48046880e-05  5.47244165e-03  7.50017402e-01  7.49982598e-01  7.39581565e-01  7.34109123e-01 
 1.13280000e-04  3.48414999e-05  5.48457036e-03  7.50017421e-01  7.49982579e-01  7.39587627e-01  7.34103057e-01 
 1.13530000e-04  3.49151077e-05  5.50885829e-03  7.50017458e-01  7.49982542e-01  7.39599766e-01  7.34090908e-01 
 1.14030000e-04  3.50622586e-05  5.55758047e-03  7.50017531e-01  7.49982469e-01  7.39624114e-01  7.34066533e-01 
 1.15030000e-04  3.53563006e-05  5.65562933e-03  7.50017678e-01  7.49982322e-01  7.39673123e-01  7.34017494e-01 
 1.16030000e-04  3.56499936e-05  5.75448661e-03  7.50017825e-01  7.49982175e-01  7.39722551e-01  7.33968064e-01 
 1.17030000e-04  3.59433347e-05  5.85415168e-03  7.50017972e-01  7.49982028e-01  7.39772387e-01  7.33918235e-01 
 1.18030000e-04  3.62363211e-05  5.95462477e-03  7.50018118e-01  7.49981882e-01  7.39822632e-01  7.33868008e-01 
 1.19030000e-04  3.65289498e-05  6.05590442e-03  7.50018264e-01  7.49981736e-01  7.39873288e-01  7.33817384e-01 
 1.20030000e-04  3.68212180e-05  6.15798644e-03  7.50018411e-01  7.49981589e-01  7.39924341e-01  7.33766355e-01 
 1.21030000e-04  3.71131229e-05  6.26086914e-03  7.50018557e-01  7.49981443e-01  7.39975797e-01  7.33714928e-01 
 1.22030000e-04  3.74046614e-05  6.36455301e-03  7.50018702e-01  7.49981298e-01  7.40027637e-01  7.33663084e-01 
 1.23030000e-04  3.76958307e-05  6.46903912e-03  7.50018848e-01  7.49981152e-01  7.40079874e-01  7.33610834e-01 
