 time            v(vind)         v(vinp)         v(vinn)         v(voutp)        v(voutn)        v(vout)         v(Vbias)        v(Vbiasc)      
 3.16000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38817650e-01  7.38798956e-01  1.86938286e-05  1.28380194e-01  2.75143239e-01 
 3.28500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38815855e-01  7.38797159e-01  1.86953350e-05  1.28380273e-01  2.75143379e-01 
 3.41000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38814060e-01  7.38795363e-01  1.86968457e-05  1.28380353e-01  2.75143518e-01 
 3.53500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38812268e-01  7.38793570e-01  1.86982698e-05  1.28380432e-01  2.75143658e-01 
 3.66000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38810477e-01  7.38791778e-01  1.86995256e-05  1.28380511e-01  2.75143797e-01 
 3.78500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38808688e-01  7.38789988e-01  1.87007778e-05  1.28380590e-01  2.75143936e-01 
 3.91000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38806901e-01  7.38788199e-01  1.87019188e-05  1.28380669e-01  2.75144075e-01 
 4.03500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38805116e-01  7.38786413e-01  1.87029627e-05  1.28380748e-01  2.75144214e-01 
 4.16000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38803333e-01  7.38784629e-01  1.87039473e-05  1.28380827e-01  2.75144353e-01 
 4.28500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38801551e-01  7.38782846e-01  1.87047777e-05  1.28380906e-01  2.75144491e-01 
 4.41000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38799771e-01  7.38781066e-01  1.87056174e-05  1.28380985e-01  2.75144630e-01 
 4.53500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38797994e-01  7.38779287e-01  1.87063742e-05  1.28381064e-01  2.75144768e-01 
 4.66000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38796218e-01  7.38777511e-01  1.87071040e-05  1.28381143e-01  2.75144905e-01 
 4.78500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38794443e-01  7.38775736e-01  1.87079447e-05  1.28381221e-01  2.75145043e-01 
 4.91000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38792671e-01  7.38773962e-01  1.87088703e-05  1.28381300e-01  2.75145181e-01 
 5.03500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38790900e-01  7.38772190e-01  1.87096671e-05  1.28381378e-01  2.75145319e-01 
 5.16000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38789131e-01  7.38770421e-01  1.87104311e-05  1.28381456e-01  2.75145456e-01 
 5.28500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38787365e-01  7.38768654e-01  1.87111973e-05  1.28381535e-01  2.75145594e-01 
 5.41000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38785600e-01  7.38766888e-01  1.87119967e-05  1.28381613e-01  2.75145731e-01 
 5.53500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38783838e-01  7.38765125e-01  1.87126657e-05  1.28381691e-01  2.75145869e-01 
 5.66000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38782077e-01  7.38763364e-01  1.87132323e-05  1.28381769e-01  2.75146006e-01 
 5.78500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38780317e-01  7.38761603e-01  1.87136559e-05  1.28381847e-01  2.75146143e-01 
 5.91000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38778559e-01  7.38759845e-01  1.87139705e-05  1.28381925e-01  2.75146280e-01 
 6.03500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38776803e-01  7.38758089e-01  1.87142547e-05  1.28382003e-01  2.75146417e-01 
 6.16000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38775050e-01  7.38756335e-01  1.87145994e-05  1.28382081e-01  2.75146554e-01 
 6.28500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38773298e-01  7.38754583e-01  1.87149830e-05  1.28382158e-01  2.75146690e-01 
 6.41000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38771548e-01  7.38752833e-01  1.87153739e-05  1.28382236e-01  2.75146827e-01 
 6.53500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38769800e-01  7.38751084e-01  1.87157758e-05  1.28382314e-01  2.75146964e-01 
 6.66000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38768053e-01  7.38749337e-01  1.87161576e-05  1.28382391e-01  2.75147100e-01 
 6.78500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38766308e-01  7.38747592e-01  1.87165608e-05  1.28382468e-01  2.75147236e-01 
 6.91000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38764564e-01  7.38745848e-01  1.87168774e-05  1.28382546e-01  2.75147372e-01 
 7.03500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38762823e-01  7.38744106e-01  1.87172041e-05  1.28382623e-01  2.75147508e-01 
 7.16000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38761084e-01  7.38742366e-01  1.87175689e-05  1.28382700e-01  2.75147643e-01 
 7.28500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38759344e-01  7.38740627e-01  1.87178729e-05  1.28382777e-01  2.75147779e-01 
 7.41000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38757607e-01  7.38738889e-01  1.87179098e-05  1.28382854e-01  2.75147914e-01 
 7.53500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38755871e-01  7.38737153e-01  1.87177841e-05  1.28382931e-01  2.75148049e-01 
 7.66000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38754136e-01  7.38735419e-01  1.87176965e-05  1.28383008e-01  2.75148184e-01 
 7.78500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38752403e-01  7.38733686e-01  1.87175657e-05  1.28383085e-01  2.75148318e-01 
 7.91000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38750670e-01  7.38731953e-01  1.87175507e-05  1.28383162e-01  2.75148452e-01 
 8.03500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38748940e-01  7.38730223e-01  1.87172866e-05  1.28383239e-01  2.75148587e-01 
 8.16000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38747210e-01  7.38728493e-01  1.87170282e-05  1.28383315e-01  2.75148721e-01 
 8.28500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38745482e-01  7.38726765e-01  1.87167562e-05  1.28383392e-01  2.75148855e-01 
 8.41000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38743755e-01  7.38725039e-01  1.87165545e-05  1.28383468e-01  2.75148989e-01 
 8.53500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38742029e-01  7.38723312e-01  1.87164130e-05  1.28383545e-01  2.75149122e-01 
 8.66000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38740304e-01  7.38721587e-01  1.87161471e-05  1.28383621e-01  2.75149256e-01 
 8.78500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38738579e-01  7.38719863e-01  1.87159524e-05  1.28383697e-01  2.75149389e-01 
 8.91000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38736856e-01  7.38718141e-01  1.87156283e-05  1.28383773e-01  2.75149523e-01 
 9.03500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38735134e-01  7.38716418e-01  1.87154459e-05  1.28383850e-01  2.75149655e-01 
 9.16000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38733412e-01  7.38714696e-01  1.87153193e-05  1.28383926e-01  2.75149788e-01 
 9.28500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38731691e-01  7.38712976e-01  1.87152497e-05  1.28384002e-01  2.75149921e-01 
 9.41000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38729972e-01  7.38711257e-01  1.87152438e-05  1.28384077e-01  2.75150053e-01 
 9.53500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38728253e-01  7.38709538e-01  1.87150418e-05  1.28384153e-01  2.75150186e-01 
 9.66000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38726536e-01  7.38707822e-01  1.87147410e-05  1.28384229e-01  2.75150318e-01 
 9.78500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38724820e-01  7.38706106e-01  1.87144066e-05  1.28384305e-01  2.75150450e-01 
 9.91000000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38723106e-01  7.38704392e-01  1.87141145e-05  1.28384380e-01  2.75150582e-01 
 1.00350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38721392e-01  7.38702678e-01  1.87138141e-05  1.28384456e-01  2.75150714e-01 
 1.01600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38719680e-01  7.38700967e-01  1.87133963e-05  1.28384531e-01  2.75150846e-01 
 1.02850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38717970e-01  7.38699257e-01  1.87130833e-05  1.28384606e-01  2.75150977e-01 
 1.04100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38716260e-01  7.38697547e-01  1.87125630e-05  1.28384682e-01  2.75151109e-01 
 1.05350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38714552e-01  7.38695840e-01  1.87120056e-05  1.28384757e-01  2.75151240e-01 
 1.06600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38712846e-01  7.38694135e-01  1.87113860e-05  1.28384832e-01  2.75151372e-01 
 1.07850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38711141e-01  7.38692430e-01  1.87106287e-05  1.28384907e-01  2.75151502e-01 
 1.09100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38709437e-01  7.38690728e-01  1.87096911e-05  1.28384982e-01  2.75151633e-01 
 1.10350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38707737e-01  7.38689028e-01  1.87087384e-05  1.28385057e-01  2.75151764e-01 
 1.11600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38706038e-01  7.38687331e-01  1.87075862e-05  1.28385132e-01  2.75151895e-01 
 1.12850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38704342e-01  7.38685635e-01  1.87063808e-05  1.28385207e-01  2.75152025e-01 
 1.14100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38702646e-01  7.38683941e-01  1.87049360e-05  1.28385281e-01  2.75152155e-01 
 1.15350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38700952e-01  7.38682249e-01  1.87033360e-05  1.28385356e-01  2.75152286e-01 
 1.16600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38699262e-01  7.38680560e-01  1.87016943e-05  1.28385430e-01  2.75152416e-01 
 1.17850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38697573e-01  7.38678873e-01  1.86999783e-05  1.28385505e-01  2.75152547e-01 
 1.19100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38695885e-01  7.38677187e-01  1.86983318e-05  1.28385579e-01  2.75152677e-01 
 1.20350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38694199e-01  7.38675503e-01  1.86962861e-05  1.28385654e-01  2.75152808e-01 
 1.21600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38692515e-01  7.38673821e-01  1.86941370e-05  1.28385728e-01  2.75152938e-01 
 1.22850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38690834e-01  7.38672142e-01  1.86919267e-05  1.28385802e-01  2.75153068e-01 
 1.24100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38689153e-01  7.38670463e-01  1.86897430e-05  1.28385876e-01  2.75153198e-01 
 1.25350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38687474e-01  7.38668786e-01  1.86875863e-05  1.28385950e-01  2.75153328e-01 
 1.26600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38685797e-01  7.38667112e-01  1.86852960e-05  1.28386024e-01  2.75153458e-01 
 1.27850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38684123e-01  7.38665440e-01  1.86831435e-05  1.28386098e-01  2.75153588e-01 
 1.29100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38682451e-01  7.38663770e-01  1.86809474e-05  1.28386172e-01  2.75153718e-01 
 1.30350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38680781e-01  7.38662102e-01  1.86787131e-05  1.28386246e-01  2.75153848e-01 
 1.31600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38679114e-01  7.38660437e-01  1.86763684e-05  1.28386319e-01  2.75153978e-01 
 1.32850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38677449e-01  7.38658775e-01  1.86741054e-05  1.28386393e-01  2.75154107e-01 
 1.34100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38675786e-01  7.38657114e-01  1.86716895e-05  1.28386467e-01  2.75154236e-01 
 1.35350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38674124e-01  7.38655455e-01  1.86693309e-05  1.28386540e-01  2.75154365e-01 
 1.36600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38672464e-01  7.38653797e-01  1.86669908e-05  1.28386613e-01  2.75154494e-01 
 1.37850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38670806e-01  7.38652142e-01  1.86645661e-05  1.28386687e-01  2.75154623e-01 
 1.39100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38669150e-01  7.38650488e-01  1.86622743e-05  1.28386760e-01  2.75154752e-01 
 1.40350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38667496e-01  7.38648836e-01  1.86599419e-05  1.28386833e-01  2.75154881e-01 
 1.41600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38665843e-01  7.38647186e-01  1.86576355e-05  1.28386907e-01  2.75155010e-01 
 1.42850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38664192e-01  7.38645537e-01  1.86554642e-05  1.28386980e-01  2.75155138e-01 
 1.44100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38662543e-01  7.38643890e-01  1.86533773e-05  1.28387053e-01  2.75155267e-01 
 1.45350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38660894e-01  7.38642243e-01  1.86512707e-05  1.28387126e-01  2.75155395e-01 
 1.46600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38659248e-01  7.38640598e-01  1.86490987e-05  1.28387199e-01  2.75155523e-01 
 1.47850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38657602e-01  7.38638956e-01  1.86468057e-05  1.28387271e-01  2.75155651e-01 
 1.49100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38655958e-01  7.38637313e-01  1.86443552e-05  1.28387344e-01  2.75155780e-01 
 1.50350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38654315e-01  7.38635673e-01  1.86417754e-05  1.28387417e-01  2.75155908e-01 
 1.51600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38652672e-01  7.38634033e-01  1.86392697e-05  1.28387490e-01  2.75156035e-01 
 1.52850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38651031e-01  7.38632394e-01  1.86368373e-05  1.28387562e-01  2.75156162e-01 
 1.54100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38649391e-01  7.38630757e-01  1.86342486e-05  1.28387635e-01  2.75156290e-01 
 1.55350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38647753e-01  7.38629121e-01  1.86316787e-05  1.28387707e-01  2.75156417e-01 
 1.56600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38646116e-01  7.38627487e-01  1.86290944e-05  1.28387779e-01  2.75156544e-01 
 1.57850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38644480e-01  7.38625854e-01  1.86263528e-05  1.28387852e-01  2.75156671e-01 
 1.59100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38642845e-01  7.38624221e-01  1.86236249e-05  1.28387924e-01  2.75156798e-01 
 1.60350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38641211e-01  7.38622590e-01  1.86208503e-05  1.28387996e-01  2.75156924e-01 
 1.61600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38639579e-01  7.38620961e-01  1.86178658e-05  1.28388068e-01  2.75157051e-01 
 1.62850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38637948e-01  7.38619334e-01  1.86149231e-05  1.28388140e-01  2.75157176e-01 
 1.64100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38636319e-01  7.38617707e-01  1.86118674e-05  1.28388212e-01  2.75157303e-01 
 1.65350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38634690e-01  7.38616081e-01  1.86087266e-05  1.28388284e-01  2.75157428e-01 
