 temp-sweep      v(Vbias)        v(Ix)          
 0.00000000e+00  1.72545566e-01  9.76104494e-09 
 1.00000000e+00  1.71780829e-01  9.79702084e-09 
 2.00000000e+00  1.71014249e-01  9.83278053e-09 
 3.00000000e+00  1.70252713e-01  9.87049380e-09 
 4.00000000e+00  1.69485274e-01  9.90671111e-09 
 5.00000000e+00  1.68718976e-01  9.94091009e-09 
 6.00000000e+00  1.67947005e-01  9.97917105e-09 
 7.00000000e+00  1.67178203e-01  1.00160523e-08 
 8.00000000e+00  1.66403297e-01  1.00513762e-08 
 9.00000000e+00  1.65632175e-01  1.00882559e-08 
 1.00000000e+01  1.64864322e-01  1.01238307e-08 
 1.10000000e+01  1.64082109e-01  1.01606481e-08 
 1.20000000e+01  1.63302344e-01  1.01959020e-08 
 1.30000000e+01  1.62529112e-01  1.02335777e-08 
 1.40000000e+01  1.61749273e-01  1.02695396e-08 
 1.50000000e+01  1.60969233e-01  1.03058037e-08 
 1.60000000e+01  1.60194129e-01  1.03439862e-08 
 1.70000000e+01  1.59410876e-01  1.03799706e-08 
 1.80000000e+01  1.58626554e-01  1.04159849e-08 
 1.90000000e+01  1.57846137e-01  1.04535934e-08 
 2.00000000e+01  1.57059524e-01  1.04896194e-08 
 2.10000000e+01  1.56279341e-01  1.05253655e-08 
 2.20000000e+01  1.55487152e-01  1.05630399e-08 
 2.30000000e+01  1.54704439e-01  1.06013918e-08 
 2.40000000e+01  1.53913574e-01  1.06375481e-08 
 2.50000000e+01  1.53124916e-01  1.06747649e-08 
 2.60000000e+01  1.52334139e-01  1.07116832e-08 
 2.70000000e+01  1.51547331e-01  1.07475643e-08 
 2.80000000e+01  1.50750911e-01  1.07860959e-08 
 2.90000000e+01  1.49959793e-01  1.08240101e-08 
 3.00000000e+01  1.49166603e-01  1.08616409e-08 
 3.10000000e+01  1.48371201e-01  1.08989451e-08 
 3.20000000e+01  1.47577684e-01  1.09372099e-08 
 3.30000000e+01  1.46782596e-01  1.09753501e-08 
 3.40000000e+01  1.45994887e-01  1.10135888e-08 
 3.50000000e+01  1.45195525e-01  1.10537126e-08 
 3.60000000e+01  1.44398332e-01  1.10922988e-08 
 3.70000000e+01  1.43598459e-01  1.11304122e-08 
 3.80000000e+01  1.42803750e-01  1.11705185e-08 
 3.90000000e+01  1.42009885e-01  1.12112607e-08 
 4.00000000e+01  1.41210489e-01  1.12506350e-08 
 4.10000000e+01  1.40411088e-01  1.12903784e-08 
 4.20000000e+01  1.39612192e-01  1.13306521e-08 
 4.30000000e+01  1.38813093e-01  1.13712334e-08 
 4.40000000e+01  1.38012765e-01  1.14117999e-08 
 4.50000000e+01  1.37211274e-01  1.14523731e-08 
