 frequency       v(Amag_dB)      v(Aarg)        
 1.20007371e-01  3.11967567e+01  6.83776718e+01 
 1.22774708e-01  3.13673568e+01  6.79264885e+01 
 1.25605860e-01  3.15368621e+01  6.74678635e+01 
 1.28502297e-01  3.17052362e+01  6.70017935e+01 
 1.31465525e-01  3.18724426e+01  6.65282831e+01 
 1.34497085e-01  3.20384440e+01  6.60473449e+01 
 1.37598551e-01  3.22032026e+01  6.55589999e+01 
 1.40771537e-01  3.23666802e+01  6.50632781e+01 
 1.44017690e-01  3.25288383e+01  6.45602187e+01 
 1.47338699e-01  3.26896379e+01  6.40498705e+01 
 1.50736290e-01  3.28490397e+01  6.35322921e+01 
 1.54212228e-01  3.30070045e+01  6.30075523e+01 
 1.57768320e-01  3.31634926e+01  6.24757305e+01 
 1.61406415e-01  3.33184644e+01  6.19369167e+01 
 1.65128404e-01  3.34718804e+01  6.13912121e+01 
 1.68936220e-01  3.36237011e+01  6.08387290e+01 
 1.72831844e-01  3.37738872e+01  6.02795911e+01 
 1.76817299e-01  3.39223998e+01  5.97139337e+01 
 1.80894658e-01  3.40692002e+01  5.91419037e+01 
 1.85066040e-01  3.42142505e+01  5.85636600e+01 
 1.89333613e-01  3.43575130e+01  5.79793730e+01 
 1.93699595e-01  3.44989510e+01  5.73892250e+01 
 1.98166255e-01  3.46385285e+01  5.67934101e+01 
 2.02735916e-01  3.47762104e+01  5.61921338e+01 
 2.07410951e-01  3.49119627e+01  5.55856132e+01 
 2.12193792e-01  3.50457524e+01  5.49740767e+01 
 2.17086923e-01  3.51775479e+01  5.43577635e+01 
 2.22092889e-01  3.53073188e+01  5.37369236e+01 
 2.27214291e-01  3.54350363e+01  5.31118174e+01 
 2.32453791e-01  3.55606730e+01  5.24827149e+01 
 2.37814113e-01  3.56842033e+01  5.18498956e+01 
 2.43298042e-01  3.58056032e+01  5.12136481e+01 
 2.48908429e-01  3.59248508e+01  5.05742690e+01 
 2.54648190e-01  3.60419257e+01  4.99320628e+01 
 2.60520309e-01  3.61568100e+01  4.92873408e+01 
 2.66527837e-01  3.62694875e+01  4.86404207e+01 
