time,a_1V5,x1t,b_3V3
1.355993219999999999e+00,1.500000000000000000e+00,6.591246489999999546e-05,2.139718009999999893e-01
1.455993219999999866e+00,1.500000000000000000e+00,2.895347859999999863e-04,2.693022999999999945e-01
1.555993219999999955e+00,1.500000000000000000e+00,1.389931899999999885e-04,3.245002269999999744e-01
1.655993220000000044e+00,1.500000000000000000e+00,2.463933879999999918e-04,3.795632210000000062e-01
1.755993219999999910e+00,1.500000000000000000e+00,1.725488580000000024e-04,4.344824620000000137e-01
1.855993219999999999e+00,1.500000000000000000e+00,2.268004010000000074e-04,4.892529210000000073e-01
1.955993219999999866e+00,1.500000000000000000e+00,1.905934269999999976e-04,5.438662229999999820e-01
2.055993219999999955e+00,1.500000000000000000e+00,2.186640899999999985e-04,5.983156200000000480e-01
2.155993220000000044e+00,1.500000000000000000e+00,2.012852449999999916e-04,6.525924339999999990e-01
2.255993220000000132e+00,1.500000000000000000e+00,2.164163060000000066e-04,7.066885269999999553e-01
2.355993220000000221e+00,1.500000000000000000e+00,2.085872549999999979e-04,7.605944959999999533e-01
2.455993220000000310e+00,1.500000000000000000e+00,2.173621499999999938e-04,8.143009020000000486e-01
2.555993219999999955e+00,1.500000000000000000e+00,2.144777520000000037e-04,8.677973399999999726e-01
2.655993220000000044e+00,1.500000000000000000e+00,2.201945159999999977e-04,9.210730489999999770e-01
2.755993220000000132e+00,1.500000000000000000e+00,2.199623889999999964e-04,9.741164119999999871e-01
2.855993220000000221e+00,1.500000000000000000e+00,2.242857890000000032e-04,1.026915259999999996e+00
2.955993220000000310e+00,1.500000000000000000e+00,2.255625710000000016e-04,1.079456600000000099e+00
3.055993220000000399e+00,1.500000000000000000e+00,2.293393680000000009e-04,1.131726739999999953e+00
3.155993220000000044e+00,1.500000000000000000e+00,2.315526449999999925e-04,1.183711149999999934e+00
3.255993220000000132e+00,1.500000000000000000e+00,2.352148260000000077e-04,1.235394509999999890e+00
3.355993219999999777e+00,1.500000000000000000e+00,2.380735550000000005e-04,1.286760619999999911e+00
3.455993219999999866e+00,1.500000000000000000e+00,2.418374350000000055e-04,1.337792429999999921e+00
3.555993219999999955e+00,1.500000000000000000e+00,2.451849100000000120e-04,1.388471970000000111e+00
3.655993220000000044e+00,1.500000000000000000e+00,2.491485200000000165e-04,1.438780380000000081e+00
3.755993219999999688e+00,1.500000000000000000e+00,2.528859850000000236e-04,1.488697860000000039e+00
3.855993219999999777e+00,1.500000000000000000e+00,2.570755510000000219e-04,1.538203709999999891e+00
3.955993219999999866e+00,1.500000000000000000e+00,2.611210479999999802e-04,1.587276310000000024e+00
4.055993220000000399e+00,1.500000000000000000e+00,2.655120499999999916e-04,1.635893169999999897e+00
4.155993220000000044e+00,1.500000000000000000e+00,2.697772750000000013e-04,1.684030939999999976e+00
4.255993220000000576e+00,1.500000000000000000e+00,2.743032670000000099e-04,1.731665449999999939e+00
4.355993220000000221e+00,1.500000000000000000e+00,2.786803390000000091e-04,1.778771829999999943e+00
4.455993220000000754e+00,1.500000000000000000e+00,2.832367050000000257e-04,1.825324509999999956e+00
4.555993220000000399e+00,1.500000000000000000e+00,2.875914250000000008e-04,1.871297390000000060e+00
