time,Vclk,Vs,Vcpp,Vcpn,Voutp,Voutn
1.984447679999999892e+01,1.500000000000000000e+00,2.033204860000000128e-06,1.381672000000000076e-05,2.156691610000000052e-05,1.499995050000000107e+00,6.216680469999999798e-06
2.016447679999999920e+01,1.500000000000000000e+00,5.965392869999999482e-08,6.941238630000000294e-06,1.483119880000000029e-05,1.499995270000000103e+00,5.938256499999999716e-06
2.048447679999999949e+01,1.500000000000000000e+00,-1.249946259999999978e-06,2.166590610000000175e-06,1.005288949999999953e-05,1.499995469999999997e+00,5.682815280000000409e-06
2.080447679999999977e+01,1.500000000000000000e+00,-2.094228259999999809e-06,-1.120770730000000051e-06,6.670433330000000110e-06,1.499995640000000074e+00,5.447814769999999750e-06
2.112447680000000005e+01,1.500000000000000000e+00,-2.614161209999999999e-06,-3.356853759999999973e-06,4.282650840000000067e-06,1.499995799999999990e+00,5.231045929999999933e-06
2.144447680000000034e+01,1.500000000000000000e+00,-2.909633069999999955e-06,-4.851405079999999626e-06,2.603084380000000205e-06,1.499995940000000028e+00,5.030584870000000128e-06
2.176447679999999707e+01,1.500000000000000000e+00,-3.051281679999999943e-06,-5.824367229999999588e-06,1.427293800000000038e-06,1.499996069999999904e+00,4.844751910000000015e-06
2.208447680000000091e+01,1.500000000000000000e+00,-3.088933140000000127e-06,-6.431808699999999777e-06,6.094462870000000253e-07,1.499996200000000002e+00,4.672077040000000272e-06
2.240447680000000119e+01,1.500000000000000000e+00,-3.057618139999999902e-06,-6.784371020000000122e-06,4.556943390000000029e-08,1.499996309999999999e+00,4.511270270000000267e-06
2.272447679999999792e+01,1.500000000000000000e+00,-2.981860040000000086e-06,-6.960394650000000171e-06,-3.384226159999999957e-07,1.499996419999999997e+00,4.361196590000000398e-06
2.304447680000000176e+01,1.500000000000000000e+00,-2.878729800000000171e-06,-7.015259549999999578e-06,-5.952863420000000504e-07,1.499996509999999894e+00,4.220854679999999612e-06
2.336447679999999849e+01,1.500000000000000000e+00,-2.760021379999999885e-06,-6.988032239999999900e-06,-7.625618439999999861e-07,1.499996609999999952e+00,4.089358780000000159e-06
2.368447679999999878e+01,1.500000000000000000e+00,-2.633799930000000050e-06,-6.906195759999999914e-06,-8.669381760000000069e-07,1.499996689999999910e+00,3.965923199999999888e-06
2.400447680000000261e+01,1.500000000000000000e+00,-2.505502890000000090e-06,-6.789014999999999915e-06,-9.273696180000000158e-07,1.499996770000000090e+00,3.849849280000000009e-06
2.432447679999999934e+01,1.500000000000000000e+00,-2.378722319999999847e-06,-6.649930560000000381e-06,-9.572995919999999254e-07,1.499996850000000048e+00,3.740514029999999877e-06
2.464447679999999963e+01,1.500000000000000000e+00,-2.255760250000000084e-06,-6.498260979999999594e-06,-9.662472359999999924e-07,1.499996930000000006e+00,3.637360560000000186e-06
2.496447679999999991e+01,1.500000000000000000e+00,-2.138022309999999939e-06,-6.340412550000000312e-06,-9.609389399999999937e-07,1.499996990000000086e+00,3.539889859999999832e-06
2.528447680000000020e+01,1.500000000000000000e+00,-2.026296219999999820e-06,-6.180738790000000278e-06,-9.461150789999999941e-07,1.499997060000000104e+00,3.447653669999999904e-06
2.560447679999999693e+01,1.500000000000000000e+00,-1.920948410000000167e-06,-6.022150360000000052e-06,-9.251049540000000162e-07,1.499997119999999962e+00,3.360248380000000195e-06
2.592447680000000076e+01,1.500000000000000000e+00,-1.822062479999999942e-06,-5.866547650000000342e-06,-9.002364070000000092e-07,1.499997180000000041e+00,3.277309799999999919e-06
2.624447680000000105e+01,1.500000000000000000e+00,-1.729536209999999977e-06,-5.715127050000000215e-06,-8.731274520000000056e-07,1.499997239999999898e+00,3.198508519999999944e-06
2.656447679999999778e+01,1.500000000000000000e+00,-1.643149340000000034e-06,-5.568597569999999796e-06,-8.448938749999999652e-07,1.499997290000000039e+00,3.123546030000000145e-06
2.688447680000000162e+01,1.500000000000000000e+00,-1.562610560000000060e-06,-5.427333679999999890e-06,-8.162968240000000436e-07,1.499997349999999896e+00,3.052151210000000019e-06
2.720447679999999835e+01,1.500000000000000000e+00,-1.487589729999999969e-06,-5.291482889999999630e-06,-7.878477459999999802e-07,1.499997390000000097e+00,2.984077359999999976e-06
2.752447679999999863e+01,1.500000000000000000e+00,-1.417739890000000066e-06,-5.161041230000000071e-06,-7.598828499999999611e-07,1.499997440000000015e+00,2.919099599999999959e-06
2.784447680000000247e+01,1.500000000000000000e+00,-1.352711829999999909e-06,-5.035906040000000240e-06,-7.326159389999999909e-07,1.499997489999999933e+00,2.857012459999999803e-06
2.816447679999999920e+01,1.500000000000000000e+00,-1.292163699999999920e-06,-4.915912570000000301e-06,-7.061757929999999737e-07,1.499997529999999912e+00,2.797628029999999939e-06
2.848447679999999949e+01,1.500000000000000000e+00,-1.235766960000000097e-06,-4.800859340000000376e-06,-6.806326209999999527e-07,1.499997569999999891e+00,2.740774019999999863e-06
2.880447679999999977e+01,1.500000000000000000e+00,-1.183209950000000049e-06,-4.690525400000000050e-06,-6.560166930000000417e-07,1.499997610000000092e+00,2.686292270000000137e-06
2.912447680000000005e+01,1.500000000000000000e+00,-1.134199760000000061e-06,-4.584682019999999912e-06,-6.323314470000000063e-07,1.499997650000000071e+00,2.634037349999999857e-06
2.944447680000000034e+01,1.500000000000000000e+00,-1.088462899999999926e-06,-4.483100430000000404e-06,-6.095626749999999761e-07,1.499997690000000050e+00,2.583875339999999851e-06
2.976447680000000062e+01,1.500000000000000000e+00,-1.045745349999999971e-06,-4.385556849999999953e-06,-5.876849249999999508e-07,1.499997730000000029e+00,2.535682709999999883e-06
3.008447680000000091e+01,1.500000000000000000e+00,-1.005811959999999941e-06,-4.291835530000000066e-06,-5.666659259999999699e-07,1.499997760000000069e+00,2.489345350000000007e-06
3.040447679999999764e+01,1.500000000000000000e+00,-9.684456869999999385e-07,-4.201730630000000298e-06,-5.464696530000000076e-07,1.499997790000000109e+00,2.444757739999999884e-06
3.072447679999999792e+01,1.500000000000000000e+00,-9.334465619999999536e-07,-4.115047059999999598e-06,-5.270583780000000017e-07,1.499997830000000087e+00,2.401822109999999974e-06
3.104447680000000176e+01,1.500000000000000000e+00,-9.006306409999999813e-07,-4.031600869999999632e-06,-5.083940689999999520e-07,1.499997859999999905e+00,2.360447820000000129e-06
3.136447680000000204e+01,1.500000000000000000e+00,-8.698288809999999650e-07,-3.951219130000000113e-06,-4.904392880000000010e-07,1.499997889999999945e+00,2.320550689999999919e-06
3.168447680000000233e+01,1.500000000000000000e+00,-8.408860449999999546e-07,-3.873739669999999978e-06,-4.731577669999999828e-07,1.499997919999999985e+00,2.282052430000000162e-06
