time,Vclk,Vs,Vctail,Vcpp,Vcpn,Voutp,Voutn
7.342730500000000049e+00,1.500000000000000000e+00,2.619127529999999981e-01,2.560771029999999726e-01,1.265415970000000057e+00,1.240908850000000063e+00,-7.213389150000000527e-02,-7.511626259999999722e-02
7.662730500000000333e+00,1.500000000000000000e+00,2.658226109999999864e-01,2.603857969999999744e-01,1.261437340000000074e+00,1.236293569999999953e+00,-7.025766690000000148e-02,-7.409231839999999569e-02
7.982730499999999729e+00,1.500000000000000000e+00,2.694625279999999790e-01,2.643814560000000147e-01,1.257755500000000026e+00,1.232007279999999927e+00,-6.812186389999999592e-02,-7.293151709999999566e-02
8.302730500000000902e+00,1.500000000000000000e+00,2.728614839999999875e-01,2.680990930000000105e-01,1.254336810000000080e+00,1.228013749999999904e+00,-6.571983080000000366e-02,-7.163281950000000009e-02
8.622730500000001186e+00,1.500000000000000000e+00,2.760444510000000240e-01,2.715686869999999753e-01,1.251152510000000051e+00,1.224281890000000095e+00,-6.304585179999999678e-02,-7.019549170000000116e-02
8.942730499999999694e+00,1.500000000000000000e+00,2.790330650000000245e-01,2.748160539999999763e-01,1.248177840000000094e+00,1.220784929999999990e+00,-6.009513949999999854e-02,-6.861909400000000547e-02
9.262730499999999978e+00,1.500000000000000000e+00,2.818461560000000143e-01,2.778635500000000147e-01,1.245391389999999987e+00,1.217499670000000034e+00,-5.686381509999999945e-02,-6.690346519999999797e-02
9.582730500000000262e+00,1.500000000000000000e+00,2.845001939999999840e-01,2.807306279999999821e-01,1.242774540000000094e+00,1.214405879999999938e+00,-5.334887940000000023e-02,-6.504870399999999886e-02
9.902730499999998770e+00,1.500000000000000000e+00,2.870096389999999831e-01,2.834342930000000038e-01,1.240311050000000082e+00,1.211485860000000025e+00,-4.954817739999999721e-02,-6.305515080000000105e-02
1.022273050000000083e+01,1.500000000000000000e+00,2.893872379999999911e-01,2.859894709999999951e-01,1.237986679999999895e+00,1.208724050000000050e+00,-4.546035939999999720e-02,-6.092336789999999724e-02
1.054273050000000111e+01,1.500000000000000000e+00,2.916442719999999822e-01,2.884093149999999994e-01,1.235788899999999968e+00,1.206106729999999905e+00,-4.108483820000000120e-02,-5.865412109999999790e-02
1.086273049999999962e+01,1.500000000000000000e+00,2.937907530000000156e-01,2.907054600000000266e-01,1.233706659999999955e+00,1.203621730000000056e+00,-3.642174589999999657e-02,-5.624836190000000180e-02
1.118273049999999991e+01,1.500000000000000000e+00,2.958356050000000015e-01,2.928882329999999978e-01,1.231730140000000029e+00,1.201258230000000093e+00,-3.147188929999999996e-02,-5.370721039999999669e-02
1.150273050000000019e+01,1.500000000000000000e+00,2.977867969999999920e-01,2.949668300000000132e-01,1.229850630000000056e+00,1.199006599999999922e+00,-2.623670590000000066e-02,-5.103193980000000213e-02
1.182273049999999870e+01,1.500000000000000000e+00,2.996514760000000277e-01,2.969494650000000235e-01,1.228060359999999962e+00,1.196858189999999933e+00,-2.071821919999999873e-02,-4.822396140000000109e-02
1.214273050000000076e+01,1.500000000000000000e+00,3.014360629999999763e-01,2.988434979999999852e-01,1.226352370000000080e+00,1.194805270000000030e+00,-1.491899619999999954e-02,-4.528481119999999693e-02
1.246273050000000104e+01,1.500000000000000000e+00,3.031463460000000110e-01,3.006555419999999978e-01,1.224720430000000082e+00,1.192840850000000064e+00,-8.842105030000000157e-03,-4.221613719999999653e-02
1.278273049999999955e+01,1.500000000000000000e+00,3.047875549999999878e-01,3.023915540000000068e-01,1.223158919999999927e+00,1.190958659999999947e+00,-2.491073569999999789e-03,-3.901968780000000109e-02
1.310273049999999984e+01,1.500000000000000000e+00,3.063644280000000220e-01,3.040569149999999832e-01,1.221662790000000109e+00,1.189152999999999905e+00,4.130149700000000298e-03,-3.569730079999999806e-02
1.342273050000000012e+01,1.500000000000000000e+00,3.078812650000000151e-01,3.056564970000000270e-01,1.220227469999999981e+00,1.187418709999999988e+00,1.101723410000000035e-02,-3.225089390000000084e-02
1.374273049999999863e+01,1.500000000000000000e+00,3.093419829999999870e-01,3.071947230000000029e-01,1.218848799999999954e+00,1.185751089999999897e+00,1.816550340000000138e-02,-2.868245540000000093e-02
1.406273050000000069e+01,1.500000000000000000e+00,3.107501520000000017e-01,3.086756150000000143e-01,1.217523029999999951e+00,1.184145860000000106e+00,2.556997059999999850e-02,-2.499403589999999939e-02
1.438273050000000097e+01,1.500000000000000000e+00,3.121090349999999791e-01,3.101028430000000169e-01,1.216246710000000064e+00,1.182599130000000054e+00,3.322537130000000061e-02,-2.118774119999999872e-02
1.470273049999999948e+01,1.500000000000000000e+00,3.134216220000000108e-01,3.114797550000000248e-01,1.215016730000000100e+00,1.181107310000000021e+00,4.112619559999999841e-02,-1.726572549999999887e-02
1.502273049999999976e+01,1.500000000000000000e+00,3.146906549999999858e-01,3.128094220000000036e-01,1.213830229999999899e+00,1.179667129999999897e+00,4.926671829999999808e-02,-1.323018549999999995e-02
1.534273049999999827e+01,1.500000000000000000e+00,3.159186560000000199e-01,3.140946569999999993e-01,1.212684569999999962e+00,1.178275579999999989e+00,5.764102720000000013e-02,-9.083355289999999263e-03
1.566273050000000033e+01,1.500000000000000000e+00,3.171079479999999728e-01,3.153380450000000113e-01,1.211577359999999937e+00,1.176929890000000034e+00,6.624305070000000017e-02,-4.827502130000000356e-03
