time,VDD,Vbiasc,Vbias,Vsu,Vres
4.333472440000000342e-02,6.350208659999999554e+02,5.682638060000000024e+01,-1.530612859999999964e+00,1.925697289999999953e+02,-4.765369779999999861e-02
4.433472439999999737e-02,6.500208659999999554e+02,5.539144410000000107e+01,-4.899960050000000122e-01,1.961267560000000003e+02,8.801730130000000318e-02
4.533472439999999826e-02,6.650208659999999554e+02,5.411444969999999444e+01,5.942758190000000385e-01,1.996690780000000132e+02,2.239661669999999938e-01
4.633472439999999914e-02,6.800208659999999554e+02,5.297907390000000305e+01,1.724451869999999998e+00,2.032004919999999970e+02,3.603483369999999630e-01
4.733472440000000003e-02,6.950208660000000691e+02,5.197163610000000489e+01,2.902437779999999634e+00,2.067244919999999979e+02,4.973261369999999459e-01
4.787501699999999888e-02,7.031252550000000383e+02,5.147646310000000369e+01,3.558865439999999936e+00,2.086264209999999935e+02,1.931189380000000178e-01
4.787512160000000072e-02,7.031268240000000560e+02,5.147637040000000042e+01,3.558992249999999746e+00,2.086268069999999852e+02,1.919240150000000034e-01
4.790123360000000247e-02,7.035185040000000072e+02,5.145326980000000106e+01,3.591127830000000021e+00,2.087186039999999991e+02,2.407892879999999902e-01
4.800001079999999948e-02,7.050001620000000457e+02,5.136652120000000110e+01,3.713369460000000011e+00,2.090659749999999804e+02,6.905217129999999814e-01
4.800041879999999983e-02,7.050062820000000556e+02,5.136615969999999720e+01,3.713593480000000113e+00,2.090673359999999832e+02,4.798654990000000287e-01
4.810486679999999987e-02,7.065730019999999740e+02,5.127549790000000485e+01,3.842703780000000346e+00,2.094345260000000053e+02,3.815194800000000219e-01
4.908472440000000159e-02,7.212708659999999554e+02,5.048059719999999828e+01,5.082660749999999616e+00,2.128784840000000145e+02,5.185672279999999912e-01
5.008472439999999554e-02,7.362708660000000691e+02,4.976920150000000120e+01,6.399392559999999897e+00,2.163943289999999990e+02,6.590377929999999829e-01
5.108472440000000336e-02,7.512708660000000691e+02,4.915056730000000584e+01,7.768716139999999548e+00,2.199135969999999816e+02,8.005676009999999065e-01
5.208472439999999731e-02,7.662708660000000691e+02,4.861711700000000036e+01,9.191343439999998921e+00,2.234384119999999996e+02,9.434058910000000520e-01
5.308472440000000514e-02,7.812708659999999554e+02,4.816227099999999695e+01,1.066782580000000102e+01,2.269706579999999860e+02,1.087744139999999859e+00
5.408472439999999909e-02,7.962708659999999554e+02,4.778022660000000599e+01,1.219854340000000015e+01,2.305119669999999985e+02,1.233748839999999847e+00
5.508472439999999998e-02,8.112708659999999554e+02,4.746579599999999743e+01,1.378370400000000018e+01,2.340637189999999919e+02,1.381574619999999864e+00
5.587501100000000220e-02,8.231251650000000382e+02,4.726204320000000081e+01,1.507490759999999952e+01,2.368787409999999909e+02,1.449337749999999980e+00
5.587504480000000245e-02,8.231256720000000087e+02,4.726202379999999437e+01,1.507441910000000007e+01,2.368787499999999966e+02,1.063509420000000150e+00
5.588157280000000116e-02,8.232235919999999396e+02,4.726050469999999848e+01,1.508537769999999867e+01,2.369020539999999926e+02,1.181765060000000034e+00
5.600000699999999748e-02,8.250001049999999623e+02,4.723321269999999572e+01,1.528207749999999976e+01,2.373244529999999770e+02,1.516629050000000145e+00
