t_phantom,phantom_spikes
3.146739999999999954e-02,-1.000000000000000000e+00
3.147753999999999830e-02,-1.000000000000000000e+00
8.022255999999999831e-02,1.000000000000000000e+00
8.101616000000000373e-02,1.000000000000000000e+00
1.310821199999999964e-01,-1.000000000000000000e+00
1.312256599999999940e-01,-1.000000000000000000e+00
1.802212599999999942e-01,1.000000000000000000e+00
1.810199999999999865e-01,1.000000000000000000e+00
2.306968399999999864e-01,-1.000000000000000000e+00
2.312221200000000032e-01,-1.000000000000000000e+00
2.802215399999999912e-01,1.000000000000000000e+00
2.810187000000000102e-01,1.000000000000000000e+00
3.304676799999999859e-01,-1.000000000000000000e+00
3.312206600000000001e-01,-1.000000000000000000e+00
3.802135799999999954e-01,1.000000000000000000e+00
3.810174399999999850e-01,1.000000000000000000e+00
4.304715199999999964e-01,-1.000000000000000000e+00
4.312193599999999960e-01,-1.000000000000000000e+00
4.802174200000000059e-01,1.000000000000000000e+00
4.810161600000000259e-01,1.000000000000000000e+00
5.304672200000000171e-01,-1.000000000000000000e+00
5.312130200000000357e-01,-1.000000000000000000e+00
5.714840399999999709e-01,-1.000000000000000000e+00
5.714941799999999628e-01,-1.000000000000000000e+00
6.239128400000000241e-01,1.000000000000000000e+00
6.239229800000000159e-01,1.000000000000000000e+00
6.815845200000000270e-01,1.000000000000000000e+00
6.815946600000000188e-01,1.000000000000000000e+00
7.304586800000000268e-01,-1.000000000000000000e+00
7.312233599999999889e-01,-1.000000000000000000e+00
7.811992399999999614e-01,1.000000000000000000e+00
7.812093799999999533e-01,1.000000000000000000e+00
8.304664000000000490e-01,-1.000000000000000000e+00
8.312270999999999965e-01,-1.000000000000000000e+00
8.808139600000000069e-01,1.000000000000000000e+00
8.810161600000000481e-01,1.000000000000000000e+00
9.304601799999999701e-01,-1.000000000000000000e+00
9.312265400000000470e-01,-1.000000000000000000e+00
9.804286800000000524e-01,1.000000000000000000e+00
9.810200000000000031e-01,1.000000000000000000e+00
1.030476500000000017e+00,-1.000000000000000000e+00
1.031226699999999941e+00,-1.000000000000000000e+00
1.080214860000000110e+00,1.000000000000000000e+00
1.081018800000000057e+00,1.000000000000000000e+00
1.130467679999999975e+00,-1.000000000000000000e+00
1.131228300000000075e+00,-1.000000000000000000e+00
1.180223859999999902e+00,1.000000000000000000e+00
1.181017439999999974e+00,1.000000000000000000e+00
1.221601160000000075e+00,1.000000000000000000e+00
1.221611299999999956e+00,1.000000000000000000e+00
1.274029960000000017e+00,-1.000000000000000000e+00
1.274040099999999898e+00,-1.000000000000000000e+00
1.321215880000000009e+00,1.000000000000000000e+00
1.321226019999999890e+00,1.000000000000000000e+00
1.331701639999999909e+00,-1.000000000000000000e+00
1.331711780000000012e+00,-1.000000000000000000e+00
1.380216179999999904e+00,1.000000000000000000e+00
1.381020080000000094e+00,1.000000000000000000e+00
1.431316360000000065e+00,-1.000000000000000000e+00
1.431326499999999946e+00,-1.000000000000000000e+00
1.480214860000000021e+00,1.000000000000000000e+00
1.481013600000000041e+00,1.000000000000000000e+00
1.530931080000000000e+00,-1.000000000000000000e+00
1.531220239999999899e+00,-1.000000000000000000e+00
1.580213599999999996e+00,1.000000000000000000e+00
1.581012300000000037e+00,1.000000000000000000e+00
1.630545799999999934e+00,-1.000000000000000000e+00
1.631221919999999992e+00,-1.000000000000000000e+00
1.680202079999999931e+00,1.000000000000000000e+00
1.681010279999999968e+00,1.000000000000000000e+00
1.730475580000000013e+00,-1.000000000000000000e+00
1.731233119999999959e+00,-1.000000000000000000e+00
1.780216159999999936e+00,1.000000000000000000e+00
1.781018079999999948e+00,1.000000000000000000e+00
1.830476980000000031e+00,-1.000000000000000000e+00
1.831226859999999901e+00,-1.000000000000000000e+00
1.880224239999999991e+00,1.000000000000000000e+00
1.881018719999999922e+00,1.000000000000000000e+00
1.930467659999999919e+00,-1.000000000000000000e+00
1.931225420000000081e+00,-1.000000000000000000e+00
1.971333000000000002e+00,-1.000000000000000000e+00
1.971343140000000105e+00,-1.000000000000000000e+00
2.023761799999999944e+00,1.000000000000000000e+00
2.023771940000000047e+00,1.000000000000000000e+00
2.081433479999999836e+00,1.000000000000000000e+00
2.081443619999999939e+00,1.000000000000000000e+00
2.130465319999999885e+00,-1.000000000000000000e+00
