t_analog,t_recon,analog_signal,spikes,recon
8.338296605122096127e-06,5.221475999999999895e-02,1.702295245852980310e+00,-2.500000000000000000e-01,1.443750000000000089e+00
8.636092912447885516e-06,5.333120000000000221e-02,1.704155722381035964e+00,-2.500000000000000000e-01,1.340625000000000178e+00
8.933889219773674906e-06,5.445111999999999869e-02,1.706015440502339331e+00,-2.500000000000000000e-01,1.237500000000000266e+00
9.231685527099464295e-06,5.559755999999999726e-02,1.707874374173054433e+00,-2.500000000000000000e-01,1.134375000000000355e+00
9.529481834425253684e-06,5.677908000000000260e-02,1.709732497360329839e+00,-2.500000000000000000e-01,1.031250000000000444e+00
9.827278141751043074e-06,5.800744000000000039e-02,1.711589784042665041e+00,-2.500000000000000000e-01,9.281250000000004219e-01
1.012507444907683246e-05,5.927145999999999804e-02,1.713446208210273713e+00,-2.500000000000000000e-01,8.250000000000003997e-01
1.042287075640262185e-05,6.062212000000000156e-02,1.715301743865448536e+00,-2.500000000000000000e-01,7.218750000000003775e-01
1.072066706372841124e-05,6.205018000000000339e-02,1.717156365022925124e+00,-2.500000000000000000e-01,6.187500000000003553e-01
1.101846337105419894e-05,6.361700000000000688e-02,1.719010045710245516e+00,-2.500000000000000000e-01,5.156250000000003331e-01
1.131625967837998833e-05,6.540749999999999342e-02,1.720862759968122768e+00,-2.500000000000000000e-01,4.125000000000003109e-01
1.161405598570577772e-05,6.753916000000000086e-02,1.722714481850803780e+00,-2.500000000000000000e-01,3.093750000000002887e-01
1.191185229303156711e-05,7.049977999999999800e-02,1.724565185426432556e+00,-2.500000000000000000e-01,2.062500000000002942e-01
1.220964860035735649e-05,8.236137999999999793e-02,1.726414844777414359e+00,2.500000000000000000e-01,3.093750000000002887e-01
1.250744490768314588e-05,8.450663999999999398e-02,1.728263434000777199e+00,2.500000000000000000e-01,4.125000000000003109e-01
1.280524121500893527e-05,8.631914000000000253e-02,1.730110927208535765e+00,2.500000000000000000e-01,5.156250000000003331e-01
1.310303752233472297e-05,8.791657999999999418e-02,1.731957298528053801e+00,2.500000000000000000e-01,6.187500000000003553e-01
1.340083382966051236e-05,8.936884000000000494e-02,1.733802522102405375e+00,2.500000000000000000e-01,7.218750000000003775e-01
1.369863013698630175e-05,9.069673999999999792e-02,1.735646572090738804e+00,2.500000000000000000e-01,8.250000000000003997e-01
1.399642644431209114e-05,9.197160000000000057e-02,1.737489422668636596e+00,2.500000000000000000e-01,9.281250000000004219e-01
1.429422275163788053e-05,9.318123999999999851e-02,1.739331048028478488e+00,2.500000000000000000e-01,1.031250000000000444e+00
1.459201905896366992e-05,9.436266000000000098e-02,1.741171422379802491e+00,2.500000000000000000e-01,1.134375000000000355e+00
1.488981536628945931e-05,9.551466000000000123e-02,1.743010519949665937e+00,2.500000000000000000e-01,1.237500000000000266e+00
1.518761167361524869e-05,9.664103999999999750e-02,1.744848314983005855e+00,2.500000000000000000e-01,1.340625000000000178e+00
1.548540798094103808e-05,9.774697999999999720e-02,1.746684781743001125e+00,2.500000000000000000e-01,1.443750000000000089e+00
1.578320428826682578e-05,9.883103999999999500e-02,1.748519894511431527e+00,2.500000000000000000e-01,1.546875000000000000e+00
1.608100059559261686e-05,9.992769999999999431e-02,1.750353627589038341e+00,2.500000000000000000e-01,1.649999999999999911e+00
1.637879690291840456e-05,1.010186400000000068e-01,1.752185955295884501e+00,2.500000000000000000e-01,1.753124999999999822e+00
1.667659321024419225e-05,1.021244199999999935e-01,1.754016851971713864e+00,2.500000000000000000e-01,1.856249999999999734e+00
