t_analog,t_recon,analog_signal,spikes,recon,th
3.278688524590164203e-05,1.934818600000000055e-01,1.850226952825633209e+00,2.500000000000000000e-01,1.057031249999998757e+00,2.062499999999999889e-01
3.329918032786885582e-05,1.958002799999999932e-01,1.853172265403119079e+00,2.500000000000000000e-01,1.263281249999998801e+00,2.062499999999999889e-01
3.381147540983606961e-05,1.980200599999999977e-01,1.856109157768634832e+00,2.500000000000000000e-01,1.469531249999998845e+00,2.062499999999999889e-01
3.432377049180328340e-05,2.002023800000000131e-01,1.859037508206471623e+00,2.500000000000000000e-01,1.675781249999998890e+00,2.062499999999999889e-01
3.483606557377049719e-05,2.024050599999999978e-01,1.861957195354930317e+00,2.500000000000000000e-01,1.882031249999998934e+00,2.062499999999999889e-01
3.534836065573771099e-05,2.046590199999999971e-01,1.864868098211349912e+00,2.500000000000000000e-01,2.088281249999998757e+00,2.062499999999999889e-01
3.586065573770491800e-05,2.069988799999999962e-01,1.867770096137123748e+00,2.500000000000000000e-01,2.294531249999998579e+00,2.062499999999999889e-01
3.637295081967213179e-05,2.095464800000000072e-01,1.870663068862697953e+00,2.500000000000000000e-01,2.500781249999998401e+00,2.062499999999999889e-01
3.688524590163934559e-05,2.123884600000000011e-01,1.873546896492556790e+00,2.500000000000000000e-01,2.707031249999998224e+00,2.062499999999999889e-01
3.739754098360655938e-05,2.159095799999999898e-01,1.876421459510191125e+00,2.500000000000000000e-01,2.913281249999998046e+00,2.062499999999999889e-01
3.790983606557377317e-05,2.216868800000000028e-01,1.879286638783051355e+00,2.500000000000000000e-01,3.119531249999997868e+00,2.062499999999999889e-01
3.842213114754098696e-05,2.319129600000000013e-01,1.882142315567485680e+00,-2.500000000000000000e-01,3.016406249999997513e+00,2.578124999999999861e-02
3.893442622950820075e-05,2.331266200000000066e-01,1.884988371513659944e+00,-2.500000000000000000e-01,2.964843749999997335e+00,5.156249999999999722e-02
3.944672131147541455e-05,2.351333399999999962e-01,1.887824688670463713e+00,-2.500000000000000000e-01,2.861718749999997424e+00,1.031249999999999944e-01
3.995901639344262834e-05,2.383802800000000000e-01,1.890651149490397920e+00,-2.500000000000000000e-01,2.655468749999997602e+00,2.062499999999999889e-01
4.047131147540984213e-05,2.411233799999999983e-01,1.893467636834446743e+00,-2.500000000000000000e-01,2.449218749999997780e+00,2.062499999999999889e-01
4.098360655737704914e-05,2.435876800000000009e-01,1.896274033976931950e+00,-2.500000000000000000e-01,2.242968749999997957e+00,2.062499999999999889e-01
4.149590163934426294e-05,2.458974600000000121e-01,1.899070224610351021e+00,-2.500000000000000000e-01,2.036718749999998135e+00,2.062499999999999889e-01
4.200819672131147673e-05,2.481182000000000110e-01,1.901856092850196633e+00,-2.500000000000000000e-01,1.830468749999998090e+00,2.062499999999999889e-01
4.252049180327869052e-05,2.503063799999999950e-01,1.904631523239759927e+00,-2.500000000000000000e-01,1.624218749999998046e+00,2.062499999999999889e-01
4.303278688524590431e-05,2.524957600000000135e-01,1.907396400754915344e+00,-2.500000000000000000e-01,1.417968749999998002e+00,2.062499999999999889e-01
4.354508196721311810e-05,2.547355399999999825e-01,1.910150610808887262e+00,-2.500000000000000000e-01,1.211718749999997957e+00,2.062499999999999889e-01
4.405737704918033190e-05,2.570832599999999801e-01,1.912894039256999301e+00,-2.500000000000000000e-01,1.005468749999997913e+00,2.062499999999999889e-01
4.456967213114754569e-05,2.596067400000000025e-01,1.915626572401405214e+00,-2.500000000000000000e-01,7.992187499999978684e-01,2.062499999999999889e-01
4.508196721311475948e-05,2.624257199999999735e-01,1.918348096995800223e+00,-2.500000000000000000e-01,5.929687499999978240e-01,2.062499999999999889e-01
4.559426229508197327e-05,2.659008800000000061e-01,1.921058500250114376e+00,-2.500000000000000000e-01,3.867187499999978351e-01,2.062499999999999889e-01
4.610655737704918706e-05,2.716328000000000076e-01,1.923757669835187700e+00,-2.500000000000000000e-01,1.804687499999978462e-01,2.062499999999999889e-01
4.661885245901639408e-05,2.817242600000000041e-01,1.926445493887425142e+00,2.500000000000000000e-01,2.835937499999978129e-01,2.578124999999999861e-02
