code,data
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.887500000000000372e-03
2.000000000000000000e+00,1.177500000000000074e-02
3.000000000000000000e+00,1.766250000000000112e-02
4.000000000000000000e+00,2.355000000000000149e-02
5.000000000000000000e+00,2.943749999999999839e-02
6.000000000000000000e+00,3.532500000000000223e-02
7.000000000000000000e+00,4.121249999999999913e-02
8.000000000000000000e+00,4.710000000000000298e-02
9.000000000000000000e+00,5.298749999999999988e-02
1.000000000000000000e+01,5.887499999999999678e-02
1.100000000000000000e+01,6.476250000000000062e-02
1.200000000000000000e+01,7.065000000000000446e-02
1.300000000000000000e+01,7.653749999999999443e-02
1.400000000000000000e+01,8.242499999999999827e-02
1.500000000000000000e+01,8.831250000000000211e-02
1.600000000000000000e+01,9.420000000000000595e-02
1.700000000000000000e+01,1.000874999999999959e-01
1.800000000000000000e+01,1.059749999999999998e-01
1.900000000000000000e+01,1.118625000000000036e-01
2.000000000000000000e+01,1.177499999999999936e-01
2.100000000000000000e+01,1.236374999999999974e-01
2.200000000000000000e+01,1.295250000000000012e-01
2.300000000000000000e+01,1.354124999999999912e-01
2.400000000000000000e+01,1.413000000000000089e-01
2.500000000000000000e+01,1.471874999999999989e-01
2.600000000000000000e+01,1.530749999999999889e-01
2.700000000000000000e+01,1.589625000000000066e-01
2.800000000000000000e+01,1.648499999999999965e-01
2.900000000000000000e+01,1.707374999999999865e-01
3.000000000000000000e+01,1.766250000000000042e-01
3.100000000000000000e+01,1.825124999999999942e-01
3.200000000000000000e+01,1.884000000000000119e-01
3.300000000000000000e+01,1.942875000000000019e-01
3.400000000000000000e+01,2.001749999999999918e-01
3.500000000000000000e+01,2.060625000000000095e-01
3.600000000000000000e+01,2.119499999999999995e-01
3.700000000000000000e+01,2.178374999999999895e-01
3.800000000000000000e+01,2.237250000000000072e-01
3.900000000000000000e+01,2.296124999999999972e-01
4.000000000000000000e+01,2.354999999999999871e-01
4.100000000000000000e+01,2.413875000000000048e-01
4.200000000000000000e+01,2.472749999999999948e-01
4.300000000000000000e+01,2.531625000000000125e-01
4.400000000000000000e+01,2.590500000000000025e-01
4.500000000000000000e+01,2.649374999999999925e-01
4.600000000000000000e+01,2.708249999999999824e-01
4.700000000000000000e+01,2.767124999999999724e-01
4.800000000000000000e+01,2.826000000000000179e-01
4.900000000000000000e+01,2.884875000000000078e-01
5.000000000000000000e+01,2.943749999999999978e-01
5.100000000000000000e+01,3.002624999999999877e-01
5.200000000000000000e+01,3.061499999999999777e-01
5.300000000000000000e+01,3.120375000000000232e-01
5.400000000000000000e+01,3.179250000000000131e-01
5.500000000000000000e+01,3.238125000000000031e-01
5.600000000000000000e+01,3.296999999999999931e-01
5.700000000000000000e+01,3.355874999999999830e-01
5.800000000000000000e+01,3.414749999999999730e-01
5.900000000000000000e+01,3.473625000000000185e-01
6.000000000000000000e+01,3.532500000000000084e-01
6.100000000000000000e+01,3.591374999999999984e-01
6.200000000000000000e+01,3.650249999999999884e-01
6.300000000000000000e+01,3.709124999999999783e-01
6.400000000000000000e+01,3.768000000000000238e-01
6.500000000000000000e+01,3.826875000000000138e-01
6.600000000000000000e+01,3.885750000000000037e-01
6.700000000000000000e+01,3.944624999999999937e-01
6.800000000000000000e+01,4.003499999999999837e-01
6.900000000000000000e+01,4.062374999999999736e-01
7.000000000000000000e+01,4.121250000000000191e-01
7.100000000000000000e+01,4.180125000000000091e-01
7.200000000000000000e+01,4.238999999999999990e-01
7.300000000000000000e+01,4.297874999999999890e-01
7.400000000000000000e+01,4.356749999999999790e-01
7.500000000000000000e+01,4.415625000000000244e-01
7.600000000000000000e+01,4.474500000000000144e-01
7.700000000000000000e+01,4.533375000000000044e-01
7.800000000000000000e+01,4.592249999999999943e-01
7.900000000000000000e+01,4.651124999999999843e-01
8.000000000000000000e+01,4.709999999999999742e-01
8.100000000000000000e+01,4.768875000000000197e-01
8.200000000000000000e+01,4.827750000000000097e-01
8.300000000000000000e+01,4.886624999999999996e-01
8.400000000000000000e+01,4.945499999999999896e-01
8.500000000000000000e+01,5.004374999999999796e-01
8.600000000000000000e+01,5.063250000000000250e-01
8.700000000000000000e+01,5.122124999999999595e-01
8.800000000000000000e+01,5.181000000000000050e-01
8.900000000000000000e+01,5.239875000000000504e-01
9.000000000000000000e+01,5.298749999999999849e-01
9.100000000000000000e+01,5.357625000000000304e-01
9.200000000000000000e+01,5.416499999999999648e-01
9.300000000000000000e+01,5.475375000000000103e-01
9.400000000000000000e+01,5.534249999999999448e-01
9.500000000000000000e+01,5.593124999999999902e-01
9.600000000000000000e+01,5.652000000000000357e-01
9.700000000000000000e+01,5.710874999999999702e-01
9.800000000000000000e+01,5.769750000000000156e-01
9.900000000000000000e+01,5.828624999999999501e-01
1.000000000000000000e+02,5.887499999999999956e-01
1.010000000000000000e+02,5.946375000000000410e-01
1.020000000000000000e+02,6.005249999999999755e-01
1.030000000000000000e+02,6.064125000000000210e-01
1.040000000000000000e+02,6.122999999999999554e-01
1.050000000000000000e+02,6.181875000000000009e-01
1.060000000000000000e+02,6.240750000000000464e-01
1.070000000000000000e+02,6.299624999999999808e-01
1.080000000000000000e+02,6.358500000000000263e-01
1.090000000000000000e+02,6.417374999999999607e-01
1.100000000000000000e+02,6.476250000000000062e-01
1.110000000000000000e+02,6.535125000000000517e-01
1.120000000000000000e+02,6.593999999999999861e-01
1.130000000000000000e+02,6.652875000000000316e-01
1.140000000000000000e+02,6.711749999999999661e-01
1.150000000000000000e+02,6.770625000000000115e-01
1.160000000000000000e+02,6.829499999999999460e-01
1.170000000000000000e+02,6.888374999999999915e-01
1.180000000000000000e+02,6.947250000000000369e-01
1.190000000000000000e+02,7.006124999999999714e-01
1.200000000000000000e+02,7.065000000000000169e-01
1.210000000000000000e+02,7.123874999999999513e-01
1.220000000000000000e+02,7.182749999999999968e-01
1.230000000000000000e+02,7.241625000000000423e-01
1.240000000000000000e+02,7.300499999999999767e-01
1.250000000000000000e+02,7.359375000000000222e-01
1.260000000000000000e+02,7.418249999999999567e-01
1.270000000000000000e+02,7.477125000000000021e-01
1.280000000000000000e+02,7.536000000000000476e-01
1.290000000000000000e+02,7.594874999999999821e-01
1.300000000000000000e+02,7.653750000000000275e-01
1.310000000000000000e+02,7.712624999999999620e-01
1.320000000000000000e+02,7.771500000000000075e-01
1.330000000000000000e+02,7.830375000000000529e-01
1.340000000000000000e+02,7.889249999999999874e-01
1.350000000000000000e+02,7.948125000000000329e-01
1.360000000000000000e+02,8.006999999999999673e-01
1.370000000000000000e+02,8.065875000000000128e-01
1.380000000000000000e+02,8.124749999999999472e-01
1.390000000000000000e+02,8.183624999999999927e-01
1.400000000000000000e+02,8.242500000000000382e-01
1.410000000000000000e+02,8.301374999999999726e-01
1.420000000000000000e+02,8.360250000000000181e-01
1.430000000000000000e+02,8.419124999999999526e-01
1.440000000000000000e+02,8.477999999999999980e-01
1.450000000000000000e+02,8.536875000000000435e-01
1.460000000000000000e+02,8.595749999999999780e-01
1.470000000000000000e+02,8.654625000000000234e-01
1.480000000000000000e+02,8.713499999999999579e-01
1.490000000000000000e+02,8.772375000000000034e-01
1.500000000000000000e+02,8.831250000000000488e-01
1.510000000000000000e+02,8.890124999999999833e-01
1.520000000000000000e+02,8.949000000000000288e-01
1.530000000000000000e+02,9.007874999999999632e-01
1.540000000000000000e+02,9.066750000000000087e-01
1.550000000000000000e+02,9.125625000000000542e-01
1.560000000000000000e+02,9.184499999999999886e-01
