time,vind,vout_dac_upper,voutp1,voutn1,vout_comp_upper,vout_dac_lower,voutp2,voutn2,vout_comp_lower
1.038787989999999972e+01,1.952512999999999888e-01,3.225443470000000003e-03,7.529538709999999968e-01,7.497284279999999468e-01,7.489089150000000084e-01,-3.450356860000000081e-01,5.810344710000000523e-01,9.260701569999999494e-01,7.489089150000000084e-01
1.138787989999999972e+01,2.139245760000000052e-01,2.073632159999999960e-02,7.617255699999999630e-01,7.409892489999999610e-01,7.489089150000000084e-01,-3.620154210000000039e-01,5.727826649999999686e-01,9.347980860000000281e-01,7.489089150000000084e-01
1.238787990000000150e+01,2.325640710000000111e-01,3.820969610000000266e-02,7.704761409999999477e-01,7.322664450000000436e-01,7.489089150000000084e-01,-3.789586730000000236e-01,5.645410370000000233e-01,9.434997099999999914e-01,7.489089150000000084e-01
1.338787989999999972e+01,2.511668420000000013e-01,5.564416109999999888e-02,7.792056760000000137e-01,7.235615149999999884e-01,7.489089150000000084e-01,-3.958589929999999923e-01,5.563122080000000302e-01,9.521712020000000498e-01,7.489089150000000084e-01
1.438787989999999972e+01,2.697299499999999961e-01,7.303795209999999760e-02,7.879139019999999993e-01,7.148759500000000378e-01,7.489089150000000084e-01,-4.127099289999999754e-01,5.480984439999999625e-01,9.608083729999999933e-01,7.489089150000000084e-01
1.538787989999999972e+01,2.882504639999999840e-01,9.038905669999999781e-02,7.966002749999999688e-01,7.062112179999999739e-01,7.489089150000000084e-01,-4.295049939999999733e-01,5.399017499999999581e-01,9.694067440000000424e-01,7.489089150000000084e-01
1.600000700000000009e+01,2.995650999999999731e-01,1.009881640000000053e-01,8.019384640000000175e-01,7.009502990000000544e-01,7.489008849999999606e-01,-4.397569590000000028e-01,5.349194520000000175e-01,9.746764119999999920e-01,7.489004719999999837e-01
1.600009720000000257e+01,2.995667659999999843e-01,1.009586920000000027e-01,8.014678859999999627e-01,7.005091930000000300e-01,7.491335569999999500e-01,-4.396060299999999810e-01,5.344798830000000445e-01,9.740859139999999972e-01,7.491656770000000298e-01
1.600849670000000202e+01,2.997219010000000128e-01,1.009760070000000065e-01,8.015151900000000440e-01,7.005391829999999542e-01,1.479096710000000092e+00,-4.394270880000000212e-01,5.345948499999999548e-01,9.740219380000000315e-01,-2.897046039999999750e-04
1.612501100000000065e+01,3.018735320000000000e-01,1.028994849999999989e-01,8.024661100000000102e-01,6.995666249999999975e-01,1.499993090000000029e+00,-4.412827799999999856e-01,5.336717909999999510e-01,9.749545710000000476e-01,-5.497767900000000140e-06
1.612504479999999774e+01,3.018741569999999763e-01,1.029010459999999960e-01,8.024005640000000383e-01,6.994995179999999868e-01,1.499939219999999906e+00,-4.412765490000000179e-01,5.336113260000000524e-01,9.748878749999999593e-01,-5.546482729999999996e-05
1.612640730000000033e+01,3.018993130000000025e-01,1.031574259999999965e-01,8.028442059999999492e-01,6.996867799999999527e-01,1.500001439999999908e+00,-4.418159429999999888e-01,5.337310579999999804e-01,9.755470010000000247e-01,-1.230287859999999901e-06
1.614311130000000105e+01,3.022077260000000098e-01,1.034628259999999939e-01,8.030547239999999976e-01,6.995918989999999615e-01,1.499999410000000033e+00,-4.421449929999999862e-01,5.336471109999999518e-01,9.757921040000000490e-01,1.758519000000000131e-07
1.625000999999999962e+01,3.041811280000000228e-01,1.053104690000000038e-01,8.040242010000000494e-01,6.987137319999999763e-01,1.499597000000000069e+00,-4.439341680000000179e-01,5.328159689999999449e-01,9.767501370000000183e-01,-5.596284480000000014e-04
1.625020329999999902e+01,3.041846950000000049e-01,1.134798439999999964e-01,8.059967489999999568e-01,6.925169049999999604e-01,1.499959730000000047e+00,-4.357261370000000134e-01,5.348069939999999800e-01,9.705331299999999661e-01,-1.995160770000000094e-05
1.625394409999999823e+01,3.042537430000000209e-01,7.065554440000000602e-02,7.912924190000000246e-01,7.206368749999999546e-01,1.499999410000000033e+00,-6.652545220000000148e-02,7.227111320000000338e-01,7.892365839999999633e-01,1.726642750000000084e-07
1.637501099999999710e+01,3.064880090000000057e-01,6.205591779999999587e-05,7.500322759999999978e-01,7.499702200000000207e-01,1.499933650000000007e+00,-6.003662399999999943e-05,7.499709089999999634e-01,7.500309450000000044e-01,-9.573409200000000023e-05
1.637504480000000129e+01,3.064886330000000103e-01,6.804735419999999909e-05,7.500203669999999656e-01,7.499523200000000056e-01,1.499717650000000013e+00,-5.361178680000000182e-05,7.499592179999999830e-01,7.500128299999999637e-01,-4.557041749999999778e-04
1.637635149999999840e+01,3.065127449999999754e-01,-1.765347909999999965e-01,6.618790479999999699e-01,8.384138389999999941e-01,1.499999459999999951e+00,-1.767015630000000059e-01,6.617941870000000337e-01,8.384957509999999559e-01,1.514673159999999972e-07
1.649903019999999998e+01,3.087760239999999823e-01,-1.737522019999999945e-01,6.630014340000000006e-01,8.367536359999999673e-01,1.499999419999999972e+00,-1.782114409999999982e-01,6.607308139999999996e-01,8.389422539999999984e-01,1.683193350000000108e-07
1.749710749999999848e+01,3.271616520000000250e-01,-1.562108010000000102e-01,6.719635000000000469e-01,8.281743010000000016e-01,1.499999429999999911e+00,-1.954433270000000000e-01,6.521233210000000335e-01,8.475666480000000336e-01,1.603074460000000106e-07
1.849710749999999848e+01,3.455310839999999883e-01,-1.387962610000000041e-01,6.807863779999999698e-01,8.195826389999999462e-01,1.499999429999999911e+00,-2.126561200000000040e-01,6.435273820000000367e-01,8.561835030000000124e-01,1.573528699999999978e-07
1.949710750000000203e+01,3.638459519999999725e-01,-1.214983899999999978e-01,6.895148629999999779e-01,8.110132530000000450e-01,1.499999429999999911e+00,-2.298128839999999951e-01,6.349618110000000426e-01,8.647746950000000377e-01,1.557563459999999931e-07
2.049710750000000203e+01,3.821033649999999726e-01,-1.042960559999999981e-01,6.981734689999999910e-01,8.024695250000000168e-01,1.499999419999999972e+00,-2.469096709999999972e-01,6.264289100000000055e-01,8.733385809999999472e-01,1.544881330000000060e-07
2.149710749999999848e+01,4.003004390000000079e-01,-8.717829729999999888e-02,7.067752069999999609e-01,7.939535039999999766e-01,1.499999419999999972e+00,-2.639422089999999832e-01,6.179311490000000129e-01,8.818733579999999961e-01,1.529215430000000076e-07
2.249710749999999848e+01,4.184343010000000085e-01,-7.013935189999999376e-02,7.153275089999999725e-01,7.854668609999999607e-01,1.499999410000000033e+00,-2.809058369999999916e-01,6.094712410000000524e-01,8.903770779999999885e-01,1.501315310000000033e-07
2.349710749999999848e+01,4.365020880000000103e-01,-5.317638870000000045e-02,7.238347330000000079e-01,7.770111219999999985e-01,1.499999400000000094e+00,-2.977954540000000150e-01,6.010522169999999997e-01,8.988476709999999592e-01,1.454914619999999973e-07
2.449710749999999848e+01,4.545009449999999895e-01,-3.628834849999999779e-02,7.322994029999999599e-01,7.685877509999999857e-01,1.499999389999999932e+00,-3.146054979999999834e-01,5.926774660000000416e-01,9.072829629999999979e-01,1.406425150000000116e-07
2.549710750000000203e+01,4.724280319999999977e-01,-1.947529720000000172e-02,7.407228869999999965e-01,7.601981840000000545e-01,1.499999389999999932e+00,-3.313299230000000262e-01,5.843507310000000121e-01,9.156806549999999545e-01,1.378375860000000002e-07
2.649710750000000203e+01,4.902805170000000268e-01,-2.738042449999999930e-03,7.491058040000000418e-01,7.518438459999999823e-01,1.499999389999999932e+00,-3.479622390000000065e-01,5.760760470000000355e-01,9.240382860000000420e-01,1.367484380000000020e-07
2.749710749999999848e+01,5.080555810000000339e-01,1.392210770000000021e-02,7.574482700000000346e-01,7.435261629999999622e-01,1.499999389999999932e+00,-3.644956229999999908e-01,5.678575989999999907e-01,9.323532220000000370e-01,1.363903620000000086e-07
2.849710749999999848e+01,5.257504170000000254e-01,3.050350209999999965e-02,7.657500590000000384e-01,7.352465559999999956e-01,1.499999389999999932e+00,-3.809230769999999988e-01,5.596995310000000279e-01,9.406226069999999995e-01,1.362859229999999922e-07
2.949710749999999848e+01,5.433622310000000288e-01,4.700425319999999851e-02,7.740107000000000514e-01,7.270064469999999446e-01,1.499999389999999932e+00,-3.972376459999999998e-01,5.516056769999999609e-01,9.488433229999999607e-01,1.362262429999999997e-07
3.049710750000000203e+01,5.608882419999999813e-01,6.342231099999999511e-02,7.822295439999999989e-01,7.188072330000000454e-01,1.499999389999999932e+00,-4.134326959999999884e-01,5.435792839999999959e-01,9.570119809999999561e-01,1.362560830000000092e-07
3.149710749999999848e+01,5.783256820000000076e-01,7.975551459999999371e-02,7.904057949999999666e-01,7.106502799999999676e-01,1.499999389999999932e+00,-4.295021789999999839e-01,5.356227580000000321e-01,9.651249370000000161e-01,1.362411629999999913e-07
3.200000699999999654e+01,5.870606219999999764e-01,8.793668250000000186e-02,7.945336379999999865e-01,7.065969549999999710e-01,1.499993429999999961e+00,-4.375359739999999942e-01,5.316743680000000083e-01,9.692103410000000308e-01,-8.711399050000000722e-06
3.200009719999999902e+01,5.870621860000000414e-01,8.791128080000000511e-02,7.940696619999999539e-01,7.061583809999999461e-01,1.499983740000000010e+00,-4.373873079999999747e-01,5.312361020000000433e-01,9.686234110000000452e-01,-1.423579299999999931e-05
3.200951849999999865e+01,5.872256030000000404e-01,8.794645730000000272e-02,7.941270620000000502e-01,7.061806050000000168e-01,1.500244080000000091e+00,-4.372116979999999820e-01,5.313494530000000271e-01,9.685611509999999535e-01,-2.665614090000000018e-06
3.212501299999999560e+01,5.892282460000000111e-01,8.974223759999999661e-02,7.949708269999999910e-01,7.052285889999999613e-01,1.499988019999999977e+00,-4.389519889999999869e-01,5.304231990000000119e-01,9.693751870000000270e-01,-8.861661229999999548e-06
3.212507039999999847e+01,5.892292409999999592e-01,8.975676150000000408e-02,7.949950199999999967e-01,7.052382590000000340e-01,1.500191269999999966e+00,-4.389873229999999849e-01,5.304324559999999966e-01,9.694197789999999815e-01,1.087656539999999953e-04
3.212676830000000194e+01,5.892586730000000106e-01,8.998898389999999969e-02,7.953947359999999911e-01,7.054057519999999970e-01,1.499999370000000054e+00,-4.395306620000000164e-01,5.305251749999999600e-01,9.700558360000000047e-01,6.149567430000000393e-07
3.215705049999999687e+01,5.897835479999999908e-01,9.048573420000000089e-02,7.956997890000000462e-01,7.052140550000000063e-01,1.499999379999999993e+00,-4.400338340000000126e-01,5.303445319999999796e-01,9.703783660000000477e-01,1.385961069999999968e-07
3.225001079999999831e+01,5.913942739999999976e-01,9.199306590000000394e-02,7.964871970000000356e-01,7.044941310000000234e-01,1.499396100000000009e+00,-4.415153689999999909e-01,5.296437720000000127e-01,9.711591419999999752e-01,-8.062007359999999586e-04
3.225033519999999498e+01,5.913998919999999826e-01,1.835962150000000070e-01,8.357708889999999613e-01,6.521746750000000370e-01,1.499999520000000031e+00,-3.450850260000000169e-01,5.708343700000000354e-01,9.159193960000000523e-01,9.156807620000000263e-06
3.225696839999999810e+01,5.915147950000000376e-01,1.303950710000000013e-02,7.592457529999999677e-01,7.462062459999999620e-01,1.499999379999999993e+00,-1.262571409999999929e-02,7.461995799999999734e-01,7.588252939999999835e-01,1.383212750000000032e-07
3.237501699999999971e+01,5.935589879999999541e-01,1.603399049999999998e-04,7.500836140000000096e-01,7.499232740000000286e-01,1.499901689999999954e+00,-1.556624820000000135e-04,7.499245700000000125e-01,7.500802330000000406e-01,-8.471201690000000639e-05
3.237512159999999994e+01,5.935607990000000278e-01,-1.145101099999999938e-04,7.491932159999999952e-01,7.493077259999999518e-01,1.500059330000000024e+00,-4.253790330000000114e-04,7.490367289999999567e-01,7.494621080000000157e-01,1.344797530000000111e-04
3.237787590000000648e+01,5.936084780000000505e-01,-1.757705189999999862e-01,6.619411950000000378e-01,8.377117139999999962e-01,1.499999379999999993e+00,-1.761703920000000090e-01,6.617386819999999670e-01,8.379090740000000315e-01,1.384119809999999928e-07
3.274709639999999666e+01,5.999935440000000453e-01,-1.697464459999999953e-01,6.650397000000000114e-01,8.347861460000000067e-01,1.499999379999999993e+00,-1.821926570000000078e-01,6.587454219999999694e-01,8.409380779999999778e-01,1.373933110000000080e-07
3.374709640000000377e+01,6.172216550000000357e-01,-1.534423209999999926e-01,6.732959069999999713e-01,8.267382290000000467e-01,1.499999379999999993e+00,-1.983452639999999934e-01,6.506753690000000034e-01,8.490206329999999690e-01,1.365544340000000057e-07
3.474709640000000377e+01,6.343522999999999801e-01,-1.372777500000000039e-01,6.814480120000000474e-01,8.187257620000000236e-01,1.499999379999999993e+00,-2.144041849999999971e-01,6.426534499999999595e-01,8.570576349999999843e-01,1.363455880000000097e-07
3.574709639999999666e+01,6.513827730000000260e-01,-1.212392770000000064e-01,6.895184460000000071e-01,8.107577230000000412e-01,1.499999379999999993e+00,-2.303663760000000116e-01,6.346812960000000059e-01,8.650476719999999897e-01,1.362560789999999947e-07
3.674709640000000377e+01,6.683103849999999513e-01,-1.053196629999999939e-01,6.975171970000000332e-01,8.028368590000000138e-01,1.499999389999999932e+00,-2.462286860000000022e-01,6.267605280000000390e-01,8.729892139999999578e-01,1.362560820000000056e-07
3.774709639999999666e+01,6.851324629999999694e-01,-8.951510249999999891e-02,7.054498799999999736e-01,7.949649819999999867e-01,1.499999389999999932e+00,-2.619878230000000086e-01,6.188928040000000186e-01,8.808806270000000271e-01,1.362411629999999913e-07
3.874709640000000377e+01,7.018463510000000349e-01,-7.382383189999999762e-02,7.133197740000000175e-01,7.871436059999999957e-01,1.499999389999999932e+00,-2.776403179999999971e-01,6.110798760000000218e-01,8.887201940000000189e-01,1.362411629999999913e-07
3.974709639999999666e+01,7.184494089999999833e-01,-5.824536479999999766e-02,7.211287579999999808e-01,7.793741229999999742e-01,1.499999389999999932e+00,-2.931824869999999916e-01,6.033236450000000195e-01,8.965061319999999556e-01,1.362262429999999997e-07
4.074709639999999666e+01,7.349390160000000005e-01,-4.278005079999999682e-02,7.288778169999999834e-01,7.716578670000000528e-01,1.499999389999999932e+00,-3.086104020000000059e-01,5.956261940000000532e-01,9.042365970000000308e-01,1.362411629999999913e-07
4.174709640000000377e+01,7.513125670000000422e-01,-2.742880060000000078e-02,7.365673449999999844e-01,7.639961450000000154e-01,1.499999389999999932e+00,-3.239198699999999986e-01,5.879898199999999964e-01,9.119096890000000233e-01,1.362411629999999913e-07
4.274709639999999666e+01,7.675674780000000252e-01,-1.219291010000000085e-02,7.441973360000000426e-01,7.563902460000000438e-01,1.499999389999999932e+00,-3.391063839999999829e-01,5.804170339999999984e-01,9.195234180000000368e-01,1.362411629999999913e-07
4.374709640000000377e+01,7.837011799999999972e-01,2.926058290000000187e-03,7.517675110000000549e-01,7.488414519999999630e-01,1.499999389999999932e+00,-3.541651239999999978e-01,5.729105629999999838e-01,9.270756879999999533e-01,1.362411629999999913e-07
4.474709639999999666e+01,7.997111270000000216e-01,1.792635709999999827e-02,7.592773980000000478e-01,7.413510410000000439e-01,1.499999389999999932e+00,-3.690909669999999920e-01,5.654733269999999701e-01,9.345642939999999621e-01,1.362560830000000092e-07
4.574709640000000377e+01,8.155947909999999856e-01,3.280611120000000158e-02,7.667263930000000061e-01,7.339202820000000349e-01,1.499999389999999932e+00,-3.838785120000000051e-01,5.581083820000000140e-01,9.419868940000000190e-01,1.362411629999999913e-07
4.674709640000000377e+01,8.313496620000000448e-01,4.756335910000000083e-02,7.741137909999999955e-01,7.265504310000000521e-01,1.499999389999999932e+00,-3.985221440000000226e-01,5.508188520000000254e-01,9.493409959999999925e-01,1.362262429999999997e-07
4.774709639999999666e+01,8.469732540000000087e-01,6.219607989999999947e-02,7.814388020000000434e-01,7.192427219999999455e-01,1.499999389999999932e+00,-4.130161439999999740e-01,5.436078090000000529e-01,9.566239539999999986e-01,1.362262429999999997e-07
4.800001079999999831e+01,8.509035910000000147e-01,6.587608529999999796e-02,7.830958359999999896e-01,7.172197500000000447e-01,1.499944130000000042e+00,-4.166455439999999788e-01,5.415887740000000505e-01,9.582343180000000293e-01,-4.575612479999999904e-05
4.800029869999999477e+01,8.509080610000000489e-01,6.585042939999999345e-02,7.828569939999999727e-01,7.170065650000000401e-01,1.500001050000000058e+00,-4.164936550000000182e-01,5.414025999999999561e-01,9.578962549999999743e-01,1.440602599999999925e-06
4.802062670000000111e+01,8.512235870000000038e-01,6.604715819999999737e-02,7.829918839999999713e-01,7.169447260000000322e-01,1.499908299999999972e+00,-4.164494599999999935e-01,5.414470620000000345e-01,9.578965210000000008e-01,1.915634470000000130e-07
4.812501699999999971e+01,8.528430399999999967e-01,6.751124890000000101e-02,7.835860030000000309e-01,7.160747539999999800e-01,1.499996749999999990e+00,-4.178530240000000173e-01,5.405998189999999815e-01,9.584528429999999988e-01,1.520752969999999983e-06
4.812512159999999994e+01,8.528446619999999756e-01,6.754389950000000420e-02,7.837479520000000255e-01,7.162040530000000071e-01,1.494430740000000091e+00,-4.179611579999999993e-01,5.407000229999999741e-01,9.586611809999999734e-01,-1.823787639999999849e-02
4.812711939999999800e+01,8.528756410000000177e-01,6.772168330000000180e-02,7.840742859999999537e-01,7.163526019999999495e-01,1.499999400000000094e+00,-4.184737470000000070e-01,5.407674569999999514e-01,9.592412040000000140e-01,2.136498100000000096e-07
4.818508600000000541e+01,8.537742510000000395e-01,6.856444130000000081e-02,7.845587450000000018e-01,7.159943039999999703e-01,1.499999379999999993e+00,-4.193144650000000251e-01,5.404195649999999906e-01,9.597340300000000157e-01,1.385159970000000100e-07
4.825001240000000280e+01,8.547802159999999816e-01,6.950471440000000056e-02,7.850480349999999774e-01,7.155433209999999544e-01,1.499188600000000093e+00,-4.202481149999999777e-01,5.399733730000000342e-01,9.602214879999999564e-01,-9.879954160000000481e-04
